commodity_name,country,market,price_type,date,price_usd,unit,uuid
Apples (Red),Jordan,Al Mafraq,RETAIL,2016-06-01,1.85,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2016-06-01,2.63,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2016-06-01,1.89,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,Zarqa,RETAIL,2016-06-01,1.83,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-01-01,1.81,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-01-01,1.92,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-01-01,2.06,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-01-01,1.88,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-01-01,2.29,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-02-01,1.79,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-02-01,2.37,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-02-01,1.98,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-02-01,1.88,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-02-01,2.17,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-03-01,1.75,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-03-01,2.5,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-03-01,1.85,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-03-01,1.89,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-03-01,2.12,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-04-01,1.85,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-04-01,2.6,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-04-01,1.96,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-04-01,1.92,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-04-01,2.1,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-05-01,1.75,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-05-01,2.5,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-05-01,1.85,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-05-01,1.89,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-05-01,2.12,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-06-01,1.95,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-06-01,2.68,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-06-01,2.19,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-06-01,1.98,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-06-01,2.02,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-07-01,2.03,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-07-01,2.88,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-07-01,2.14,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-07-01,2.07,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-07-01,2.12,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-08-01,2.03,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-08-01,2.93,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-08-01,2.23,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-08-01,2.03,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-08-01,2.12,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-09-01,2.1,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-09-01,3.01,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-09-01,2.36,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-09-01,2.13,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-09-01,2.12,Kg,5d703935-5a5d-4743-a154-618a29a65f58
Apples (Red),Jordan,Al Mafraq,RETAIL,2017-10-01,2.13,Kg,7a99625d-d8f5-4577-ae01-4a8641e25d38
Apples (Red),Jordan,Amman,RETAIL,2017-10-01,2.93,Kg,66749226-be6f-4bb5-b568-e3b5fcc647c0
Apples (Red),Jordan,Irbid,RETAIL,2017-10-01,2.27,Kg,6cd0409b-edc1-4465-a358-63d5620b44e5
Apples (Red),Jordan,National Average,RETAIL,2017-10-01,2.16,Kg,abcf13aa-8698-4afc-89db-7771dbda185f
Apples (Red),Jordan,Zarqa,RETAIL,2017-10-01,2.2,Kg,5d703935-5a5d-4743-a154-618a29a65f58
