commodity_name,country,market,price_type,date,price_usd,unit,uuid
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-01-01,0.67,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-02-01,0.69,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-03-01,0.67,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-04-01,0.65,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-05-01,0.64,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-06-01,0.67,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-07-01,0.78,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-08-01,0.89,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-09-01,0.9,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-10-01,0.67,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-11-01,0.67,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2022-12-01,0.7,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-01-01,0.71,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-02-01,0.73,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-03-01,0.75,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-04-01,0.8,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-05-01,0.89,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-06-01,0.97,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-09-01,0.79,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-10-01,0.72,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-11-01,0.76,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2023-12-01,0.78,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-01-01,0.79,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-02-01,0.82,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-03-01,0.85,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-04-01,0.84,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-07-01,0.94,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-08-01,0.95,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-09-01,0.91,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-10-01,0.92,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-11-01,0.93,Kg,8422c67b-c7d8-458e-8a91-084853c98139
Apples (golden),Republic of Moldova,National Average,RETAIL,2024-12-01,0.94,Kg,8422c67b-c7d8-458e-8a91-084853c98139
