date,price_usd,commodity_name,country,market,price_type,unit
2000-04-01,0.59,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-05-01,0.6,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-06-01,0.59,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-07-01,0.61,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-08-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-09-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-10-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-11-01,0.53,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2000-12-01,0.53,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-01-01,0.51,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-02-01,0.51,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-03-01,0.56,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-04-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-05-01,0.69,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-06-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-07-01,0.69,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-08-01,0.83,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-09-01,0.97,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-10-01,0.9,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-11-01,0.81,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2001-12-01,0.9,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-01-01,1.05,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-02-01,1.1,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-03-01,1.08,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-04-01,1.15,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-05-01,1.12,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-06-01,1.09,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-07-01,1.02,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-08-01,1.02,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-09-01,0.97,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-10-01,0.91,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-11-01,0.85,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2002-12-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-01-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-02-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-03-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-04-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-05-01,0.67,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-06-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-07-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-08-01,0.61,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-09-01,0.6,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
2003-10-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg
