commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-01-01,0.32,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-01-01,2.43,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-04-01,0.64,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-04-01,0.64,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-04-01,0.58,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-05-01,0.74,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-05-01,0.77,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-05-01,0.73,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-06-01,0.76,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-06-01,0.8,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-06-01,0.72,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-07-01,0.78,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-07-01,0.81,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-07-01,0.73,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-08-01,0.78,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-08-01,0.79,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-08-01,0.73,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-09-01,0.77,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-09-01,0.79,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-09-01,0.71,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-10-01,0.74,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-10-01,0.74,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-10-01,0.68,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-11-01,0.74,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-11-01,0.7,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-11-01,0.67,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2000-12-01,0.73,Kg,18d07c1e-636e-4371-938d-5454030978f4
"Beans (black, imported)",Mexico,Puebla,WHOLESALE,2000-12-01,0.71,Kg,f78f4879-84a1-412c-b654-cd8af9e1663a
"Beans (black, imported)",Mexico,Xalapa,WHOLESALE,2000-12-01,0.68,Kg,ae5264ed-a9b5-4d34-8336-ecb843f1080a
"Beans (black, imported)",Mexico,Mexico City,WHOLESALE,2001-01-01,0.73,Kg,18d07c1e-636e-4371-938d-5454030978f4
