commodity_name,country,market,price_type,date,price_usd,unit,uuid
Beans (red),Costa Rica,National Average,RETAIL,2000-01-01,1.14,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-01-01,484.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-02-01,1.07,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-02-01,624.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-03-01,1.05,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-03-01,666.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-04-01,1.02,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-04-01,777.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-05-01,1.03,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-05-01,730.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-06-01,1.0,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-06-01,726.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-07-01,0.99,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-07-01,673.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-08-01,1.05,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-08-01,570.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-09-01,1.02,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-09-01,492.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-10-01,0.97,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-10-01,482.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-11-01,1.04,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-11-01,492.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2000-12-01,0.98,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2000-12-01,406.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Honduras,National Average,WHOLESALE,2001-01-01,559.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-02-01,0.97,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-02-01,516.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-03-01,0.98,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-03-01,593.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-04-01,0.92,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-04-01,584.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-05-01,0.94,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-05-01,582.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-06-01,0.92,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-06-01,593.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-07-01,0.99,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-07-01,688.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-08-01,0.91,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-08-01,663.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-09-01,0.99,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-09-01,661.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-10-01,1.03,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-10-01,789.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-11-01,1.01,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-11-01,978.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2001-12-01,1.14,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2001-12-01,702.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-01-01,1.16,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-01-01,617.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-02-01,1.15,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-02-01,606.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-03-01,1.19,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-03-01,609.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-04-01,1.09,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-04-01,636.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-05-01,1.13,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-05-01,661.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-06-01,1.09,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-06-01,682.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Honduras,National Average,WHOLESALE,2002-07-01,673.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-08-01,0.89,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-08-01,588.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-09-01,1.09,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-09-01,527.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-10-01,1.05,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-10-01,511.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-11-01,1.06,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-11-01,509.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2002-12-01,1.08,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2002-12-01,481.0,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2003-01-01,1.05,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Costa Rica,National Average,RETAIL,2003-02-01,1.07,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
Beans (red),Honduras,National Average,WHOLESALE,2003-02-01,404.57,tonne,ac7c13e2-d1e6-4c22-a223-36ee338fe27b
Beans (red),Costa Rica,National Average,RETAIL,2003-03-01,1.04,900 gms,08bbc81b-1241-481e-bed4-5392628e4350
