date,price_usd,commodity_name,country,market,price_type,unit
2020-05-01,0.57,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-06-01,0.57,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-07-01,0.73,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-08-01,0.8,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-09-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-10-01,0.9,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-11-01,0.65,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2020-12-01,0.62,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-01-01,0.72,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-02-01,0.56,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-03-01,0.56,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-04-01,0.71,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-05-01,0.82,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-06-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-07-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-08-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-09-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-10-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-11-01,1.06,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2021-12-01,1.05,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-01-01,0.96,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-02-01,0.96,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-03-01,0.93,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-04-01,1.01,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-05-01,1.08,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-06-01,1.07,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-07-01,0.86,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-08-01,0.86,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-09-01,0.84,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-10-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-11-01,0.86,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2022-12-01,0.74,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-01-01,0.82,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-02-01,0.82,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-03-01,0.84,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-04-01,0.97,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-05-01,1.01,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-06-01,1.03,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-07-01,,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-08-01,0.74,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-09-01,0.91,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-10-01,0.81,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-11-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2023-12-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-01-01,0.76,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-02-01,0.82,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-03-01,0.83,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-04-01,0.82,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-05-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-06-01,0.91,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-07-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-08-01,0.93,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-09-01,1.27,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-10-01,0.92,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-11-01,0.86,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2024-12-01,0.64,Beans (white),Central African Republic,Bambari,RETAIL,Kg
2025-01-01,0.68,Beans (white),Central African Republic,Bambari,RETAIL,Kg
