commodity_name,country,market,price_type,date,price_usd,unit,uuid
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-07-01,0.2,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-07-01,0.22,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-08-01,0.19,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-08-01,0.21,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-09-01,0.19,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-09-01,0.22,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-10-01,0.18,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-10-01,0.25,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-11-01,0.18,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-11-01,0.26,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2012-12-01,0.17,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2012-12-01,0.33,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-01-01,0.16,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-01-01,0.28,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-02-01,0.16,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-02-01,0.27,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-03-01,0.15,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-03-01,0.33,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-04-01,0.14,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-04-01,0.25,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-05-01,0.16,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-05-01,0.13,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-05-01,0.17,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-05-01,0.18,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-06-01,0.17,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-06-01,0.13,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-06-01,0.17,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-06-01,0.19,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-07-01,0.13,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-07-01,0.12,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-07-01,0.13,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-07-01,0.22,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-08-01,0.17,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-08-01,0.11,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-08-01,0.15,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-08-01,0.13,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-09-01,0.16,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-09-01,0.1,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-09-01,0.13,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-09-01,0.13,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-10-01,0.12,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-10-01,0.09,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-10-01,0.09,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-10-01,0.14,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-11-01,0.11,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-11-01,0.09,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-11-01,0.09,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-11-01,0.1,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2013-12-01,0.09,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2013-12-01,0.09,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
Bread (Bakery),Syrian Arab Republic,Deir-ez-Zor,RETAIL,2013-12-01,0.09,1.1 Kg,469d87d1-040c-44b7-9fb3-53bc1fc8ef64
Bread (Bakery),Syrian Arab Republic,National Average,RETAIL,2013-12-01,0.1,1.1 Kg,e9f0d297-c979-45fc-99b0-ce63ba9841e2
Bread (Bakery),Syrian Arab Republic,Al-Hasakeh,RETAIL,2014-01-01,0.15,1.1 Kg,46669b61-a415-4bc1-b957-b987e6d815ff
Bread (Bakery),Syrian Arab Republic,Dar'a,RETAIL,2014-01-01,0.18,1.1 Kg,1f4ea9af-2ec0-4586-a133-6247b7328d70
