commodity_name,country,market,price_type,date,price_usd,unit,uuid
Bread (Pita),Jordan,Al Mafraq,RETAIL,2016-06-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2016-06-01,0.23,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2016-06-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,Zarqa,RETAIL,2016-06-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-01-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2017-01-01,0.24,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2017-01-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,National Average,RETAIL,2017-01-01,0.24,Kg,040fd894-1eea-49a4-ae42-f7b923d5376b
Bread (Pita),Jordan,Zarqa,RETAIL,2017-01-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-02-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2017-02-01,0.23,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2017-02-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,National Average,RETAIL,2017-02-01,0.24,Kg,040fd894-1eea-49a4-ae42-f7b923d5376b
Bread (Pita),Jordan,Zarqa,RETAIL,2017-02-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-03-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2017-03-01,0.23,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2017-03-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,National Average,RETAIL,2017-03-01,0.24,Kg,040fd894-1eea-49a4-ae42-f7b923d5376b
Bread (Pita),Jordan,Zarqa,RETAIL,2017-03-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-04-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2017-04-01,0.23,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2017-04-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,National Average,RETAIL,2017-04-01,0.24,Kg,040fd894-1eea-49a4-ae42-f7b923d5376b
Bread (Pita),Jordan,Zarqa,RETAIL,2017-04-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-05-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
Bread (Pita),Jordan,Amman,RETAIL,2017-05-01,0.23,Kg,a241067c-677d-4812-8067-617477e68cc2
Bread (Pita),Jordan,Irbid,RETAIL,2017-05-01,0.24,Kg,e0d7799b-c619-4e86-894e-6b2a3567a735
Bread (Pita),Jordan,National Average,RETAIL,2017-05-01,0.24,Kg,040fd894-1eea-49a4-ae42-f7b923d5376b
Bread (Pita),Jordan,Zarqa,RETAIL,2017-05-01,0.24,Kg,b922710d-02a9-4318-8741-eb7a2d7c9286
Bread (Pita),Jordan,Al Mafraq,RETAIL,2017-06-01,0.24,Kg,b9b41730-f178-4e8e-8c16-b6258846bdac
