commodity_name,country,market,price_type,date,price_usd,unit,uuid
Bread (high grade flour),Armenia,National Average,RETAIL,2005-01-01,0.61,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-02-01,0.64,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-03-01,0.65,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-04-01,0.67,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-05-01,0.67,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-06-01,0.67,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-07-01,0.67,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-08-01,0.64,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-09-01,0.65,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-10-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-11-01,0.65,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2005-12-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2006-01-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Armenia,National Average,RETAIL,2006-02-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-02-01,0.38,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-03-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-03-01,0.4,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-04-01,0.66,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-04-01,0.4,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-05-01,0.67,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-05-01,0.39,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-06-01,0.7,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-06-01,0.39,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-07-01,0.71,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-07-01,0.39,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-08-01,0.74,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-08-01,0.4,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-09-01,0.77,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-09-01,0.4,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-10-01,0.78,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-10-01,0.4,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-11-01,0.79,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-11-01,0.41,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2006-12-01,0.81,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2006-12-01,0.41,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2007-01-01,0.82,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2007-01-01,0.45,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2007-02-01,0.83,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2007-02-01,0.46,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2007-03-01,0.83,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2007-03-01,0.46,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2007-04-01,0.82,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2007-04-01,0.46,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
Bread (high grade flour),Armenia,National Average,RETAIL,2007-05-01,0.84,Kg,79e6690d-688c-4ddb-9398-61ffe0d7f60e
Bread (high grade flour),Azerbaijan,National Average,RETAIL,2007-05-01,0.46,Kg,6ab37985-1ecd-41f7-84c1-33cd1f05b91f
