commodity_name,country,market,price_type,date,price_usd,unit,uuid
Bread (loaf),Botswana,National Average,RETAIL,2007-01-01,0.64,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-02-01,0.64,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-03-01,0.63,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-04-01,0.65,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-05-01,0.66,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-06-01,0.66,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-07-01,0.67,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-08-01,0.66,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-09-01,0.68,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-10-01,0.74,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-11-01,0.75,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2007-12-01,0.77,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-01-01,0.78,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-02-01,0.76,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-03-01,0.77,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-04-01,0.8,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-05-01,0.85,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-06-01,0.88,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-07-01,0.95,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-08-01,0.98,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-09-01,0.96,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-10-01,0.85,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-11-01,0.83,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2008-12-01,0.86,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-01-01,0.86,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-02-01,0.85,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-03-01,0.84,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-04-01,0.9,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-05-01,0.95,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-06-01,0.98,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-07-01,0.99,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-08-01,0.99,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-09-01,1.03,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-10-01,1.03,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-11-01,1.03,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2009-12-01,1.0,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-01-01,1.0,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-02-01,0.98,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-03-01,0.98,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-04-01,1.0,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-05-01,0.97,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-06-01,0.96,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-07-01,0.97,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-08-01,0.99,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-09-01,1.0,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-10-01,1.04,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-11-01,1.02,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2010-12-01,1.03,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-01-01,1.02,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-02-01,1.0,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-03-01,1.02,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-04-01,1.04,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-05-01,1.04,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-06-01,1.05,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-07-01,1.05,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-08-01,1.03,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-09-01,0.98,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-10-01,0.95,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-11-01,0.94,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2011-12-01,0.93,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-01-01,0.94,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-02-01,0.97,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-03-01,0.97,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-04-01,0.95,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-05-01,0.93,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-06-01,0.91,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-07-01,0.9,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-08-01,0.91,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-09-01,0.92,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
Bread (loaf),Botswana,National Average,RETAIL,2012-10-01,0.9,1 unit,e160d0a2-b3a3-498d-8170-03ac821a3969
