commodity_name,country,market,price_type,date,price_usd,unit,uuid
Capsicum (fresh),Tonga,National Average,RETAIL,2010-03-01,4.29,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-04-01,4.44,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-05-01,6.56,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-06-01,8.4,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-07-01,5.76,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-08-01,5.64,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-09-01,4.66,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-10-01,3.25,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-11-01,2.08,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2010-12-01,2.86,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-01-01,2.01,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-02-01,4.19,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-03-01,4.97,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-04-01,7.51,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-05-01,5.97,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-06-01,6.75,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-07-01,11.53,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-08-01,7.72,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-09-01,6.5,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-10-01,4.95,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-11-01,4.86,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2011-12-01,3.02,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-01-01,2.22,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-02-01,2.98,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-03-01,4.07,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-04-01,4.15,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-05-01,4.03,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-06-01,4.65,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-07-01,4.39,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-08-01,3.87,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-09-01,3.81,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-10-01,4.1,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-11-01,2.43,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2012-12-01,1.88,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
Capsicum (fresh),Tonga,National Average,RETAIL,2013-01-01,2.65,Kg,7fee1289-06ed-4e29-8eb6-67c821fd2f2a
