commodity_name,country,market,price_type,date,price_usd,unit,uuid
Carrots,Tonga,National Average,RETAIL,2010-03-01,1.74,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-04-01,2.48,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-05-01,2.38,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-06-01,2.41,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-07-01,2.14,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-08-01,1.97,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-09-01,1.99,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-10-01,2.76,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-11-01,2.8,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2010-12-01,2.87,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-01-01,2.93,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-02-01,4.0,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-03-01,3.64,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-04-01,3.83,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-05-01,3.3,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-06-01,2.73,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-07-01,5.1,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-08-01,3.12,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-09-01,2.05,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-10-01,1.89,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-11-01,1.92,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2011-12-01,1.65,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-01-01,1.33,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-02-01,3.13,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-03-01,2.62,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-04-01,2.68,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-05-01,2.9,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-06-01,3.84,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-07-01,2.57,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-08-01,1.78,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-09-01,1.46,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-10-01,1.2,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-11-01,1.31,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2012-12-01,1.07,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-01-01,1.3,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-02-01,1.63,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-03-01,2.36,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-04-01,2.52,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-05-01,3.01,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-06-01,2.83,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-07-01,2.59,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-08-01,2.33,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-09-01,1.45,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-10-01,1.1,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-11-01,0.85,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2013-12-01,1.11,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-01-01,1.63,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-02-01,1.7,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-03-01,2.92,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-04-01,2.73,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-05-01,2.71,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-06-01,1.75,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-07-01,1.8,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-08-01,1.7,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-09-01,1.52,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-10-01,1.52,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-11-01,1.92,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2014-12-01,1.53,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-01-01,1.96,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-02-01,1.99,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-03-01,1.69,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-04-01,2.59,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-05-01,3.1,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-06-01,2.54,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-07-01,3.06,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-08-01,2.4,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-09-01,2.25,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-10-01,0.94,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-11-01,0.53,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2015-12-01,0.61,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-01-01,0.82,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-02-01,1.44,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-03-01,1.26,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-04-01,2.37,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-05-01,2.87,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-06-01,2.58,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-07-01,1.76,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-08-01,1.95,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-09-01,1.78,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-10-01,1.2,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-11-01,1.13,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2016-12-01,1.05,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-01-01,1.55,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-02-01,1.91,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-03-01,1.77,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-04-01,2.36,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-05-01,2.1,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-06-01,2.23,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-07-01,2.08,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-08-01,1.76,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-09-01,1.25,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-10-01,1.11,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
Carrots,Tonga,National Average,RETAIL,2017-11-01,1.14,Kg,f017d8e5-b134-44f6-8bb7-6976202a1512
