date,price_usd,commodity_name,country,market,price_type,unit
2017-06-01,2.12,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-07-01,2.1,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-08-01,2.12,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-09-01,2.28,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-10-01,2.29,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-11-01,2.27,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2017-12-01,2.36,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-01-01,2.29,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-02-01,2.35,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-03-01,2.41,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-04-01,2.33,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-05-01,1.93,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-06-01,1.8,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-07-01,1.79,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-08-01,1.8,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-09-01,1.63,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-10-01,1.77,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-11-01,1.81,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2018-12-01,1.79,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-01-01,1.84,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-02-01,1.86,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-03-01,2.22,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-04-01,2.22,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-05-01,2.0,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-06-01,1.99,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-07-01,2.02,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-08-01,1.67,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-09-01,1.7,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-10-01,1.73,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-11-01,1.77,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2019-12-01,1.8,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-01-01,1.87,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-02-01,1.82,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-03-01,1.88,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-04-01,1.85,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-05-01,1.69,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-06-01,1.68,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-07-01,1.58,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-08-01,1.64,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-09-01,1.66,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-10-01,1.7,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-11-01,1.73,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2020-12-01,1.94,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
2021-01-01,2.07,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
