commodity_name,country,market,price_type,date,price_usd,unit,uuid
Chicken (without offals),Peru,Lima,RETAIL,2002-04-01,1.61,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-05-01,1.62,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-06-01,1.6,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-07-01,1.63,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-08-01,1.59,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-09-01,1.52,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-10-01,1.58,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-11-01,1.47,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2002-12-01,1.37,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-01-01,1.31,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-02-01,1.35,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-03-01,1.4,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-04-01,1.35,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-05-01,1.32,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-06-01,1.31,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-07-01,1.43,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-08-01,1.3,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-09-01,1.42,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-10-01,1.42,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-11-01,1.46,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2003-12-01,1.58,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-01-01,1.42,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-02-01,1.49,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-03-01,1.46,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-04-01,1.47,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-05-01,1.43,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-06-01,1.6,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-07-01,1.62,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-08-01,1.62,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-09-01,1.72,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-10-01,1.56,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-11-01,1.52,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2004-12-01,1.51,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-01-01,1.64,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-02-01,1.6,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-03-01,1.62,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-04-01,1.63,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-05-01,1.68,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-06-01,1.67,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-07-01,1.72,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-08-01,1.68,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-09-01,1.55,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-10-01,1.39,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-11-01,1.22,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2005-12-01,1.4,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-01-01,1.58,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-02-01,1.7,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-03-01,1.67,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-04-01,1.56,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-05-01,1.65,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-06-01,1.65,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-07-01,1.68,Kg,34f76432-965c-43d7-9794-6736ce83ea61
Chicken (without offals),Peru,Lima,RETAIL,2006-08-01,1.59,Kg,34f76432-965c-43d7-9794-6736ce83ea61
