date,price_usd,commodity_name,country,market,price_type,unit
2009-01-01,2.8,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-02-01,2.66,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-03-01,2.54,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-04-01,2.55,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-05-01,2.44,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-06-01,2.44,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-07-01,2.44,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-08-01,2.41,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-09-01,2.45,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-10-01,2.45,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-11-01,2.45,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2009-12-01,2.46,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-01-01,2.47,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-02-01,2.49,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-03-01,2.52,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-04-01,2.53,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-05-01,2.52,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-06-01,2.54,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-07-01,2.54,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-08-01,2.58,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-09-01,2.69,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-10-01,2.83,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-11-01,2.9,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2010-12-01,3.01,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-01-01,3.05,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-02-01,3.18,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-03-01,3.1,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-04-01,3.14,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-05-01,3.12,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-06-01,3.1,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-07-01,3.09,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-08-01,3.1,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-09-01,3.07,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-10-01,2.96,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-11-01,2.94,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2011-12-01,2.9,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
2012-01-01,2.85,"Chicken meat (frozen, imported)",Saudi Arabia,National Average,RETAIL,900 gms
