commodity_name,country,market,price_type,date,price_usd,unit,uuid
Chicken meat,Tunisia,Tunis,RETAIL,1994-01-01,1.75,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-02-01,1.75,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-03-01,1.75,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-04-01,1.78,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-05-01,1.71,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-06-01,1.48,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-07-01,1.89,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-08-01,1.64,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-09-01,1.85,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-10-01,1.74,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-11-01,1.82,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1994-12-01,1.76,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1995-01-01,1.91,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1995-02-01,1.8,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
Chicken meat,Tunisia,Tunis,RETAIL,1995-03-01,1.8,Kg,20c23a5a-bde3-4c55-9c51-afa333f3f4e7
