commodity_name,country,market,price_type,date,price_usd,unit,uuid
Chili (bird's eye),Indonesia,National Average,RETAIL,2020-11-01,3.01,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2020-12-01,4.1,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-01-01,5.96,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-02-01,6.4,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-03-01,7.0,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-04-01,5.86,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-05-01,4.82,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-06-01,4.06,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-07-01,4.63,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-08-01,3.54,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-09-01,2.84,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-10-01,2.94,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-11-01,2.83,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2021-12-01,5.23,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-01-01,5.25,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-02-01,4.24,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-03-01,4.91,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-04-01,4.12,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-05-01,3.87,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-06-01,6.0,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-07-01,6.68,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-08-01,5.26,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-09-01,4.75,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-10-01,4.02,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-11-01,3.3,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2022-12-01,3.83,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2023-01-01,4.07,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2023-02-01,3.92,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
Chili (bird's eye),Indonesia,National Average,RETAIL,2023-03-01,4.25,Kg,b3a44e06-7f65-4ab8-bd79-b8cac214250e
