date,price_usd,commodity_name,country,market,price_type,unit
2021-01-01,1.86,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-02-01,1.84,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-03-01,1.84,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-04-01,2.29,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-05-01,2.81,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-06-01,2.86,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-07-01,2.34,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-08-01,2.21,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-09-01,2.24,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-10-01,2.16,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-11-01,2.22,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2021-12-01,2.22,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-01-01,2.37,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-02-01,2.41,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-03-01,2.36,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-04-01,1.85,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-05-01,1.62,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-06-01,1.54,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-07-01,1.38,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-08-01,1.49,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-09-01,1.39,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-10-01,1.27,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-11-01,1.28,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2022-12-01,1.36,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-01-01,1.47,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-02-01,1.48,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-03-01,1.66,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-04-01,1.69,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-05-01,1.67,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-06-01,1.59,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-07-01,1.42,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-08-01,1.4,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-09-01,1.35,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-10-01,1.33,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-11-01,1.36,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2023-12-01,1.39,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-01-01,1.43,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-02-01,1.45,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-03-01,1.47,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-04-01,1.49,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-05-01,1.5,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-06-01,1.68,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-07-01,1.75,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-08-01,1.67,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-09-01,1.72,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-10-01,1.83,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-11-01,1.89,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2024-12-01,2.0,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-01-01,2.01,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-02-01,2.01,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-03-01,2.06,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-04-01,2.18,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-05-01,2.31,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-06-01,2.2,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-07-01,2.16,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-08-01,2.28,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-09-01,2.25,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-10-01,2.21,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
2025-11-01,661.86,Coconut oil,Sri Lanka,Colombo,RETAIL,750 ml
