date,price_usd,commodity_name,country,market,price_type,unit
2009-01-01,4.07,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-02-01,4.27,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-03-01,4.28,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-04-01,4.4,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-05-01,4.15,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-06-01,4.09,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-07-01,3.46,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-08-01,3.04,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-09-01,3.22,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-10-01,3.33,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-11-01,3.48,Dates,Saudi Arabia,National Average,RETAIL,Kg
2009-12-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-01-01,3.42,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-02-01,3.52,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-03-01,3.75,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-04-01,3.7,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-05-01,3.53,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-06-01,3.6,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-07-01,3.23,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-08-01,3.21,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-09-01,3.0,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-10-01,3.09,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-11-01,3.27,Dates,Saudi Arabia,National Average,RETAIL,Kg
2010-12-01,3.49,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-01-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-02-01,3.32,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-03-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-04-01,3.5,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-05-01,3.55,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-06-01,3.62,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-07-01,3.57,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-08-01,3.44,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-09-01,3.4,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-10-01,3.22,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-11-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2011-12-01,3.36,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-01-01,3.36,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-02-01,3.39,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-03-01,3.35,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-04-01,3.36,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-05-01,3.33,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-06-01,3.69,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-07-01,3.66,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-08-01,3.54,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-09-01,3.23,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-10-01,3.15,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-11-01,3.36,Dates,Saudi Arabia,National Average,RETAIL,Kg
2012-12-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-01-01,3.3,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-02-01,3.33,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-03-01,3.52,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-04-01,3.57,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-05-01,3.66,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-06-01,3.67,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-07-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-08-01,3.19,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-09-01,3.11,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-10-01,3.38,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-11-01,3.61,Dates,Saudi Arabia,National Average,RETAIL,Kg
2013-12-01,3.5,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-01-01,3.55,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-02-01,3.67,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-03-01,3.59,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-04-01,3.63,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-05-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-06-01,3.71,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-07-01,3.67,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-08-01,3.35,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-09-01,3.32,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-10-01,3.44,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-11-01,3.73,Dates,Saudi Arabia,National Average,RETAIL,Kg
2014-12-01,3.76,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-01-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-02-01,3.64,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-03-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-04-01,3.62,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-05-01,3.63,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-06-01,3.88,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-07-01,3.63,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-08-01,3.29,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-09-01,3.1,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-10-01,3.33,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-11-01,3.34,Dates,Saudi Arabia,National Average,RETAIL,Kg
2015-12-01,3.51,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-01-01,3.64,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-02-01,3.67,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-03-01,3.65,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-04-01,3.61,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-05-01,3.62,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-06-01,3.76,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-07-01,3.56,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-08-01,3.27,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-09-01,3.05,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-10-01,3.1,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-11-01,3.29,Dates,Saudi Arabia,National Average,RETAIL,Kg
2016-12-01,3.49,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-01-01,3.56,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-02-01,3.57,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-03-01,3.61,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-04-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-05-01,3.58,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-06-01,3.5,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-07-01,3.16,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-08-01,2.91,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-09-01,2.89,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-10-01,3.08,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-11-01,3.29,Dates,Saudi Arabia,National Average,RETAIL,Kg
2017-12-01,3.41,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-01-01,3.5,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-02-01,3.49,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-03-01,3.5,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-04-01,3.43,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-05-01,3.42,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-06-01,3.81,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-07-01,3.47,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-08-01,3.02,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-09-01,2.91,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-10-01,3.05,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-11-01,3.23,Dates,Saudi Arabia,National Average,RETAIL,Kg
2018-12-01,3.44,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-01-01,3.47,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-02-01,3.45,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-03-01,3.41,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-04-01,3.42,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-05-01,3.43,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-06-01,3.64,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-07-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-08-01,3.27,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-09-01,3.18,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-10-01,3.26,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-11-01,3.64,Dates,Saudi Arabia,National Average,RETAIL,Kg
2019-12-01,3.68,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-01-01,3.74,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-02-01,3.64,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-03-01,3.54,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-04-01,3.59,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-05-01,3.61,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-06-01,3.56,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-07-01,3.94,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-08-01,3.25,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-09-01,3.03,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-10-01,3.05,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-11-01,3.28,Dates,Saudi Arabia,National Average,RETAIL,Kg
2020-12-01,3.47,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-01-01,3.63,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-02-01,3.67,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-03-01,3.65,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-04-01,3.7,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-05-01,3.74,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-06-01,3.75,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-07-01,3.43,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-08-01,3.39,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-09-01,3.31,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-10-01,3.47,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-11-01,3.75,Dates,Saudi Arabia,National Average,RETAIL,Kg
2021-12-01,3.85,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-01-01,3.85,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-02-01,3.86,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-03-01,3.89,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-04-01,3.98,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-05-01,3.92,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-06-01,4.13,Dates,Saudi Arabia,National Average,RETAIL,Kg
2022-07-01,3.83,Dates,Saudi Arabia,National Average,RETAIL,Kg
