commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2022-08-01,4.97,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2022-08-01,3.28,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2022-08-01,2.61,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2022-09-01,3.76,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2022-09-01,1.89,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2022-09-01,2.62,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2022-10-01,3.68,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2022-10-01,1.89,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2022-10-01,2.87,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2022-11-01,3.96,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2022-11-01,1.91,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2022-11-01,2.75,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2022-12-01,4.78,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2022-12-01,1.84,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2022-12-01,2.65,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-01-01,4.85,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-01-01,1.69,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-01-01,2.66,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-02-01,4.84,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-02-01,1.66,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-02-01,2.44,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-03-01,4.87,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-03-01,1.39,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-03-01,2.02,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-04-01,5.0,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-04-01,1.36,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-04-01,2.23,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-05-01,5.02,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-05-01,1.55,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-05-01,2.26,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-06-01,4.79,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-06-01,1.51,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-06-01,2.39,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-07-01,4.62,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-07-01,1.53,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-07-01,2.49,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-08-01,4.35,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-08-01,1.57,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-08-01,2.53,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,2023-09-01,4.34,Kg,e9bd9d46-ed42-4bc0-b33c-88fbf0125217
"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,2023-09-01,1.57,Kg,e7033c45-c03e-4572-9536-38ad1014eaa2
"Fish (Bonga, smoked)",Guinea,N'Zérékoré,RETAIL,2023-09-01,2.53,Kg,c30cdb6e-b1e7-44b5-85b3-98bc50da8fd0
