commodity_name,country,market,price_type,date,price_usd,unit,uuid
Fish (dried),Guinea,National Average,RETAIL,2020-02-01,2.7,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-03-01,2.88,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-04-01,2.83,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-05-01,2.98,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-06-01,2.99,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-07-01,2.79,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-08-01,3.02,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-09-01,3.0,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-10-01,3.1,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-11-01,3.21,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2020-12-01,3.46,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-01-01,3.3,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-02-01,3.32,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-03-01,3.1,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-04-01,3.42,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-05-01,3.54,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-06-01,3.65,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-07-01,3.65,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-08-01,3.69,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-09-01,4.49,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-10-01,4.59,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-11-01,4.83,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2021-12-01,4.82,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-01-01,4.63,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-02-01,4.77,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-03-01,4.93,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-04-01,5.38,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-05-01,5.2,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-06-01,5.08,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-07-01,4.95,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-08-01,4.99,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-09-01,5.65,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-10-01,5.1,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-11-01,4.93,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2022-12-01,5.26,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-01-01,4.79,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-02-01,4.75,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-03-01,5.02,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-04-01,4.93,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-05-01,4.67,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-06-01,4.95,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-07-01,4.96,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-08-01,5.01,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-09-01,5.03,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-10-01,5.37,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-11-01,5.38,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2023-12-01,5.39,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-01-01,5.49,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-02-01,5.41,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-03-01,5.37,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-04-01,5.12,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-05-01,5.02,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-06-01,5.13,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-07-01,5.35,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-08-01,5.29,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-09-01,5.27,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-10-01,5.3,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-11-01,5.45,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2024-12-01,5.47,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-01-01,5.26,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-02-01,5.38,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-03-01,5.22,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-04-01,5.26,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-05-01,5.21,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-06-01,5.06,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-07-01,5.74,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-08-01,5.75,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
Fish (dried),Guinea,National Average,RETAIL,2025-09-01,5.99,Kg,44151cce-d5fd-408f-abfe-fe22e11d95bc
