commodity_name,country,market,price_type,date,price_usd,unit,uuid
Gari (white),Nigeria,National Average,RETAIL,2017-01-01,0.72,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-01-01,0.67,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
Gari (white),Nigeria,North East,RETAIL,2017-01-01,0.68,Kg,58b04dfa-c64a-4ab2-82e2-2c2b15fab88b
Gari (white),Nigeria,North West,RETAIL,2017-01-01,0.76,Kg,86a12a5b-3547-47f5-81a7-7391b55c2b83
Gari (white),Nigeria,South East,RETAIL,2017-01-01,0.83,Kg,e420b93a-e619-4384-b896-8fbbd75cdf3a
Gari (white),Nigeria,South South,RETAIL,2017-01-01,0.77,Kg,d9033d0e-a823-4b51-a1c3-6b9a949bb398
Gari (white),Nigeria,South West,RETAIL,2017-01-01,0.63,Kg,1d9585c9-9da6-4fed-a301-db3eec375237
Gari (white),Nigeria,National Average,RETAIL,2017-02-01,0.85,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-02-01,0.78,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
Gari (white),Nigeria,North East,RETAIL,2017-02-01,0.75,Kg,58b04dfa-c64a-4ab2-82e2-2c2b15fab88b
Gari (white),Nigeria,North West,RETAIL,2017-02-01,0.77,Kg,86a12a5b-3547-47f5-81a7-7391b55c2b83
Gari (white),Nigeria,South East,RETAIL,2017-02-01,0.86,Kg,e420b93a-e619-4384-b896-8fbbd75cdf3a
Gari (white),Nigeria,South South,RETAIL,2017-02-01,0.86,Kg,d9033d0e-a823-4b51-a1c3-6b9a949bb398
Gari (white),Nigeria,South West,RETAIL,2017-02-01,0.68,Kg,1d9585c9-9da6-4fed-a301-db3eec375237
Gari (white),Nigeria,National Average,RETAIL,2017-03-01,0.89,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-03-01,0.87,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
Gari (white),Nigeria,North East,RETAIL,2017-03-01,0.79,Kg,58b04dfa-c64a-4ab2-82e2-2c2b15fab88b
Gari (white),Nigeria,North West,RETAIL,2017-03-01,0.79,Kg,86a12a5b-3547-47f5-81a7-7391b55c2b83
Gari (white),Nigeria,South East,RETAIL,2017-03-01,0.99,Kg,e420b93a-e619-4384-b896-8fbbd75cdf3a
Gari (white),Nigeria,South South,RETAIL,2017-03-01,0.88,Kg,d9033d0e-a823-4b51-a1c3-6b9a949bb398
Gari (white),Nigeria,South West,RETAIL,2017-03-01,0.85,Kg,1d9585c9-9da6-4fed-a301-db3eec375237
Gari (white),Nigeria,National Average,RETAIL,2017-04-01,0.94,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-04-01,0.97,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
Gari (white),Nigeria,North East,RETAIL,2017-04-01,0.94,Kg,58b04dfa-c64a-4ab2-82e2-2c2b15fab88b
Gari (white),Nigeria,North West,RETAIL,2017-04-01,0.85,Kg,86a12a5b-3547-47f5-81a7-7391b55c2b83
Gari (white),Nigeria,South East,RETAIL,2017-04-01,1.05,Kg,e420b93a-e619-4384-b896-8fbbd75cdf3a
Gari (white),Nigeria,South South,RETAIL,2017-04-01,0.99,Kg,d9033d0e-a823-4b51-a1c3-6b9a949bb398
Gari (white),Nigeria,South West,RETAIL,2017-04-01,0.89,Kg,1d9585c9-9da6-4fed-a301-db3eec375237
Gari (white),Nigeria,National Average,RETAIL,2017-05-01,0.96,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-05-01,0.98,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
Gari (white),Nigeria,North East,RETAIL,2017-05-01,0.94,Kg,58b04dfa-c64a-4ab2-82e2-2c2b15fab88b
Gari (white),Nigeria,North West,RETAIL,2017-05-01,0.88,Kg,86a12a5b-3547-47f5-81a7-7391b55c2b83
Gari (white),Nigeria,South East,RETAIL,2017-05-01,1.08,Kg,e420b93a-e619-4384-b896-8fbbd75cdf3a
Gari (white),Nigeria,South South,RETAIL,2017-05-01,1.01,Kg,d9033d0e-a823-4b51-a1c3-6b9a949bb398
Gari (white),Nigeria,South West,RETAIL,2017-05-01,0.9,Kg,1d9585c9-9da6-4fed-a301-db3eec375237
Gari (white),Nigeria,National Average,RETAIL,2017-06-01,1.03,Kg,c8862cdd-6221-4b1f-87fe-f99914c31400
Gari (white),Nigeria,North Central,RETAIL,2017-06-01,1.08,Kg,3b8d49f1-8572-4eb1-b078-bef49c4ee4c7
