commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-03-01,35.66,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-04-01,45.33,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-06-01,73.45,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-07-01,95.68,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-08-01,74.67,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2018-09-01,110.12,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-03-01,95.19,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-04-01,91.2,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-05-01,90.97,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-06-01,84.24,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-07-01,83.0,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-08-01,83.81,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-09-01,79.79,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-10-01,79.37,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-11-01,79.37,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2019-12-01,79.41,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-01-01,78.44,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-02-01,82.11,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-03-01,92.53,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-04-01,96.66,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-05-01,91.94,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-06-01,84.38,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-07-01,81.91,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-08-01,78.73,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-09-01,74.6,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-10-01,66.33,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-11-01,72.73,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2020-12-01,83.07,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-01-01,82.45,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-02-01,105.31,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-03-01,112.08,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-04-01,130.55,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-05-01,165.57,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-06-01,257.61,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-07-01,208.05,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-08-01,162.77,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-09-01,159.53,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-10-01,111.5,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-11-01,109.14,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2021-12-01,106.99,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-01-01,103.53,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-02-01,103.98,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-03-01,104.6,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-04-01,105.37,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-05-01,101.1,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-06-01,116.72,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-07-01,96.63,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-08-01,84.22,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-09-01,85.73,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-10-01,89.69,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-11-01,88.59,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2022-12-01,82.41,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-01-01,78.11,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-02-01,77.88,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-03-01,67.13,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-04-01,77.29,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-05-01,73.14,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-06-01,59.1,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-07-01,61.56,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-08-01,72.87,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-09-01,81.8,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-10-01,71.8,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-11-01,84.74,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2023-12-01,96.67,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2024-01-01,34.65,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2024-02-01,57.98,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
"Goat (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,2024-03-01,61.32,1 unit,7f5b1d38-78a8-43c4-a246-556cd85010de
