commodity_name,country,market,price_type,date,price_usd,unit,uuid
Groundnuts,Senegal,National Average,RETAIL,2020-08-01,0.84,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2020-09-01,0.93,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2020-10-01,0.78,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2020-11-01,0.64,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2020-12-01,0.56,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-01-01,0.59,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-02-01,0.63,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-03-01,0.67,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-04-01,0.66,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-05-01,0.7,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-06-01,0.6,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-07-01,0.59,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-08-01,0.64,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-09-01,0.82,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-10-01,0.86,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-11-01,0.65,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2021-12-01,0.57,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2022-01-01,0.56,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2022-02-01,0.57,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2022-03-01,0.61,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2022-04-01,0.6,Kg,b0da4518-575b-478b-abae-75eb4378db14
Groundnuts,Senegal,National Average,RETAIL,2022-05-01,0.67,Kg,b0da4518-575b-478b-abae-75eb4378db14
