commodity_name,country,market,price_type,date,price_usd,unit,uuid
Lentils (broken),Nepal,Biratnagar,RETAIL,2019-04-01,0.81,Kg,043404f5-8463-4a4f-8944-b91ba6b57977
Lentils (broken),Nepal,Birendranagar,RETAIL,2019-04-01,1.18,Kg,0bee9e81-772e-4fd9-89a4-3f6cc19a016d
Lentils (broken),Nepal,Dhangadhi,RETAIL,2019-04-01,1.0,Kg,f37d1ed9-0da9-458d-8d7e-514351aa8a6e
Lentils (broken),Nepal,Hetauda,RETAIL,2019-04-01,0.81,Kg,54680a68-c775-4afa-b997-8e3cc355decf
Lentils (broken),Nepal,Janakpurdham,RETAIL,2019-04-01,1.0,Kg,18d9d897-b24f-4723-8c87-f321a436d187
Lentils (broken),Nepal,Kathmandu,RETAIL,2019-04-01,0.86,Kg,914b7774-892b-41fc-b326-6e2676cdfbdb
Lentils (broken),Nepal,Nepalgunj,RETAIL,2019-04-01,0.77,Kg,4c080d39-f22b-467c-ab1b-5038982f052e
Lentils (broken),Nepal,Pokhara,RETAIL,2019-04-01,0.95,Kg,d101a978-276f-42a9-976e-2eab8998d548
Lentils (broken),Nepal,Biratnagar,RETAIL,2019-05-01,0.81,Kg,043404f5-8463-4a4f-8944-b91ba6b57977
Lentils (broken),Nepal,Birendranagar,RETAIL,2019-05-01,1.08,Kg,0bee9e81-772e-4fd9-89a4-3f6cc19a016d
Lentils (broken),Nepal,Dhangadhi,RETAIL,2019-05-01,0.99,Kg,f37d1ed9-0da9-458d-8d7e-514351aa8a6e
Lentils (broken),Nepal,Hetauda,RETAIL,2019-05-01,0.99,Kg,54680a68-c775-4afa-b997-8e3cc355decf
Lentils (broken),Nepal,Janakpurdham,RETAIL,2019-05-01,0.99,Kg,18d9d897-b24f-4723-8c87-f321a436d187
Lentils (broken),Nepal,Kathmandu,RETAIL,2019-05-01,0.99,Kg,914b7774-892b-41fc-b326-6e2676cdfbdb
Lentils (broken),Nepal,Nepalgunj,RETAIL,2019-05-01,0.76,Kg,4c080d39-f22b-467c-ab1b-5038982f052e
Lentils (broken),Nepal,Pokhara,RETAIL,2019-05-01,0.9,Kg,d101a978-276f-42a9-976e-2eab8998d548
Lentils (broken),Nepal,Biratnagar,RETAIL,2019-06-01,0.81,Kg,043404f5-8463-4a4f-8944-b91ba6b57977
Lentils (broken),Nepal,Birendranagar,RETAIL,2019-06-01,1.08,Kg,0bee9e81-772e-4fd9-89a4-3f6cc19a016d
Lentils (broken),Nepal,Dhangadhi,RETAIL,2019-06-01,0.99,Kg,f37d1ed9-0da9-458d-8d7e-514351aa8a6e
Lentils (broken),Nepal,Hetauda,RETAIL,2019-06-01,0.9,Kg,54680a68-c775-4afa-b997-8e3cc355decf
Lentils (broken),Nepal,Janakpurdham,RETAIL,2019-06-01,0.99,Kg,18d9d897-b24f-4723-8c87-f321a436d187
Lentils (broken),Nepal,Kathmandu,RETAIL,2019-06-01,0.99,Kg,914b7774-892b-41fc-b326-6e2676cdfbdb
Lentils (broken),Nepal,Nepalgunj,RETAIL,2019-06-01,0.85,Kg,4c080d39-f22b-467c-ab1b-5038982f052e
Lentils (broken),Nepal,Pokhara,RETAIL,2019-06-01,0.9,Kg,d101a978-276f-42a9-976e-2eab8998d548
Lentils (broken),Nepal,Biratnagar,RETAIL,2019-07-01,1.0,Kg,043404f5-8463-4a4f-8944-b91ba6b57977
Lentils (broken),Nepal,Birendranagar,RETAIL,2019-07-01,1.13,Kg,0bee9e81-772e-4fd9-89a4-3f6cc19a016d
Lentils (broken),Nepal,Dhangadhi,RETAIL,2019-07-01,1.0,Kg,f37d1ed9-0da9-458d-8d7e-514351aa8a6e
Lentils (broken),Nepal,Hetauda,RETAIL,2019-07-01,1.0,Kg,54680a68-c775-4afa-b997-8e3cc355decf
Lentils (broken),Nepal,Janakpurdham,RETAIL,2019-07-01,1.0,Kg,18d9d897-b24f-4723-8c87-f321a436d187
Lentils (broken),Nepal,Kathmandu,RETAIL,2019-07-01,1.0,Kg,914b7774-892b-41fc-b326-6e2676cdfbdb
Lentils (broken),Nepal,Nepalgunj,RETAIL,2019-07-01,0.91,Kg,4c080d39-f22b-467c-ab1b-5038982f052e
Lentils (broken),Nepal,Pokhara,RETAIL,2019-07-01,0.91,Kg,d101a978-276f-42a9-976e-2eab8998d548
Lentils (broken),Nepal,Biratnagar,RETAIL,2019-08-01,0.81,Kg,043404f5-8463-4a4f-8944-b91ba6b57977
Lentils (broken),Nepal,Birendranagar,RETAIL,2019-08-01,1.17,Kg,0bee9e81-772e-4fd9-89a4-3f6cc19a016d
Lentils (broken),Nepal,Dhangadhi,RETAIL,2019-08-01,0.99,Kg,f37d1ed9-0da9-458d-8d7e-514351aa8a6e
