commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-01-01,77.44,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-02-01,93.36,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-03-01,113.02,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-04-01,127.24,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-05-01,130.46,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-06-01,129.69,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-07-01,125.73,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-08-01,114.46,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-09-01,91.01,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-10-01,79.52,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-11-01,80.7,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2000-12-01,80.03,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-01-01,81.45,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-02-01,91.17,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-03-01,97.76,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-04-01,104.74,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-05-01,109.44,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-06-01,117.57,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-07-01,121.02,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-08-01,122.51,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-09-01,104.2,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-10-01,94.16,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-11-01,88.7,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2001-12-01,83.96,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-01-01,82.63,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-02-01,82.47,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-03-01,80.42,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-04-01,77.86,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-05-01,76.24,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-06-01,75.99,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-07-01,76.0,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-08-01,77.01,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-09-01,74.83,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-10-01,73.18,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
"Maize (bid, EXW, processing)",Ukraine,National Average,WHOLESALE,2002-11-01,74.67,tonne,e722f580-1eb4-4379-bfe6-41cdd305f1e5
