date,price_usd,commodity_name,country,market,price_type,unit
2000-01-01,141.59,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-02-01,125.31,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-03-01,143.45,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-04-01,143.99,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-05-01,131.78,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-06-01,113.19,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-07-01,105.83,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-08-01,97.97,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-09-01,98.81,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-10-01,105.24,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-11-01,103.01,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2000-12-01,108.38,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-01-01,105.69,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-02-01,100.8,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-03-01,97.78,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-04-01,95.06,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-05-01,96.84,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-06-01,95.95,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-07-01,91.31,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-08-01,96.17,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-09-01,98.17,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-10-01,100.76,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-11-01,100.24,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2001-12-01,98.25,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-01-01,99.25,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-02-01,102.7,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-03-01,112.21,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-04-01,113.43,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-05-01,119.54,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-06-01,119.53,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-07-01,117.71,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-08-01,105.73,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-09-01,102.41,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-10-01,114.56,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-11-01,105.17,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2002-12-01,110.89,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2003-01-01,111.19,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2003-02-01,114.38,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2003-03-01,118.71,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2003-04-01,118.13,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
2003-05-01,118.69,Maize (Feed),Thailand,Bangkok,WHOLESALE,tonne
