commodity_name,country,market,price_type,date,price_usd,unit,uuid
Maize (white),Paraguay,Asunción,WHOLESALE,1993-01-01,555.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-02-01,517.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-03-01,595.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-04-01,663.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-05-01,660.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-06-01,658.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-07-01,670.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-08-01,627.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-09-01,576.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-10-01,634.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-11-01,645.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1993-12-01,654.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-01-01,558.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-02-01,637.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-03-01,688.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-04-01,659.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-05-01,675.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-06-01,675.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-07-01,675.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-08-01,678.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-09-01,813.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-10-01,1039.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-11-01,1223.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1994-12-01,1247.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1995-01-01,1181.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Paraguay,Asunción,WHOLESALE,1995-02-01,921.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Mogadishu,RETAIL,1995-02-01,0.21,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-03-01,811.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Baidoa,RETAIL,1995-03-01,1360.0,Kg,9b7e0a3c-bfc3-443d-85e4-e3c1651cf49b
Maize (white),Somalia,Mogadishu,RETAIL,1995-03-01,1407.41,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-04-01,740.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Mogadishu,RETAIL,1995-04-01,0.24,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-05-01,758.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Mogadishu,RETAIL,1995-05-01,0.28,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-06-01,669.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Mogadishu,RETAIL,1995-06-01,0.28,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-07-01,616.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Baidoa,RETAIL,1995-07-01,0.17,Kg,9b7e0a3c-bfc3-443d-85e4-e3c1651cf49b
Maize (white),Somalia,Mogadishu,RETAIL,1995-07-01,0.16,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-08-01,637.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Baidoa,RETAIL,1995-08-01,0.19,Kg,9b7e0a3c-bfc3-443d-85e4-e3c1651cf49b
Maize (white),Somalia,Mogadishu,RETAIL,1995-08-01,0.24,Kg,e77cc3d8-9328-4deb-939a-982327b9e8bd
Maize (white),Paraguay,Asunción,WHOLESALE,1995-09-01,823.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
Maize (white),Somalia,Baidoa,RETAIL,1995-09-01,0.15,Kg,9b7e0a3c-bfc3-443d-85e4-e3c1651cf49b
Maize (white),Paraguay,Asunción,WHOLESALE,1995-10-01,923.0,Kg,e192280d-4ba6-4270-9f5f-379c8f7043ec
