commodity_name,country,market,price_type,date,price_usd,unit,uuid
Maize oil,Saudi Arabia,National Average,RETAIL,2009-01-01,5.69,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-02-01,5.72,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-03-01,5.72,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-04-01,5.5,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-05-01,5.19,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-06-01,5.04,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-07-01,5.04,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-08-01,5.01,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-09-01,5.03,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-10-01,5.04,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-11-01,4.98,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2009-12-01,4.94,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-01-01,4.98,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-02-01,4.94,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-03-01,4.95,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-04-01,4.96,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-05-01,4.94,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-06-01,4.95,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-07-01,4.93,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-08-01,4.95,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-09-01,4.95,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-10-01,4.94,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-11-01,4.93,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2010-12-01,4.95,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-01-01,5.05,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-02-01,5.13,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-03-01,5.15,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-04-01,5.35,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-05-01,5.45,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-06-01,5.52,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-07-01,5.55,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-08-01,5.61,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-09-01,5.66,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-10-01,5.7,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-11-01,5.71,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2011-12-01,5.72,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-01-01,5.76,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-02-01,5.63,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-03-01,5.56,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-04-01,5.63,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-05-01,5.66,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-06-01,5.68,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-07-01,5.7,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-08-01,5.73,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-09-01,5.74,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-10-01,5.74,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-11-01,5.71,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2012-12-01,5.73,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-01-01,5.74,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-02-01,5.71,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-03-01,5.69,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-04-01,5.75,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-05-01,5.78,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-06-01,5.76,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-07-01,5.76,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-08-01,5.75,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-09-01,5.75,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-10-01,5.74,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-11-01,5.77,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
Maize oil,Saudi Arabia,National Average,RETAIL,2013-12-01,5.74,1.8 Liter,7dfed835-fb58-4030-8f9d-91e0005d9112
