commodity_name,country,market,price_type,date,price_usd,unit,uuid
Meat (mixed cut),Zambia,National Average,RETAIL,2018-12-01,3.01,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-01-01,3.01,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-02-01,3.0,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-03-01,3.0,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-06-01,2.72,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-07-01,2.83,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-08-01,2.75,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-09-01,2.75,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-10-01,2.77,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-11-01,2.61,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2019-12-01,2.51,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-01-01,2.57,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-02-01,2.53,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-03-01,2.27,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-04-01,2.01,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-05-01,2.1,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-06-01,2.14,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-07-01,2.16,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-08-01,2.01,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-09-01,2.02,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-10-01,2.15,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-11-01,2.19,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2020-12-01,2.43,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2021-01-01,2.56,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2021-02-01,2.55,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
Meat (mixed cut),Zambia,National Average,RETAIL,2021-03-01,2.56,1 kg,0f416b74-e5b2-422d-8cbd-0fd22d328a04
