commodity_name,country,market,price_type,date,price_usd,unit,uuid
Meat (rump steak),Zambia,National Average,RETAIL,2020-11-01,2.6,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2020-12-01,2.88,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-01-01,3.08,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-02-01,3.1,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-03-01,3.12,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-04-01,3.1,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-05-01,3.21,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-06-01,3.26,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-07-01,3.35,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-08-01,4.28,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-09-01,4.89,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-10-01,4.77,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-11-01,4.78,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2021-12-01,4.96,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-01-01,4.91,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-02-01,4.62,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-03-01,4.67,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-04-01,4.84,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-05-01,4.93,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-06-01,5.0,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-07-01,5.2,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-08-01,5.35,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-09-01,5.48,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-10-01,5.34,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-11-01,5.17,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2022-12-01,4.89,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-01-01,4.72,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-02-01,4.43,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-03-01,4.25,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-04-01,4.83,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-05-01,4.8,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-06-01,4.77,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-07-01,4.76,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-08-01,4.62,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-09-01,4.26,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-10-01,4.16,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-11-01,4.05,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2023-12-01,3.96,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-01-01,3.53,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-02-01,3.76,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-03-01,3.79,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-04-01,3.79,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-05-01,3.47,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-06-01,3.68,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-07-01,3.75,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-08-01,3.74,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-09-01,3.77,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
Meat (rump steak),Zambia,National Average,RETAIL,2024-10-01,3.68,1 kg,10aac782-3d5c-4735-aa13-98f51e2e99fb
