date,price_usd,commodity_name,country,market,price_type,unit
1997-10-01,0.27,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1997-11-01,0.26,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1997-12-01,0.29,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-01-01,0.57,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-02-01,0.55,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-03-01,0.44,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-04-01,0.54,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-05-01,0.5,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-06-01,0.35,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-07-01,0.32,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-08-01,0.25,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-09-01,0.43,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-10-01,0.33,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-11-01,0.4,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1998-12-01,0.38,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-01-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-02-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-03-01,0.49,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-04-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-05-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-06-01,0.38,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-07-01,0.35,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-08-01,0.59,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-09-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-10-01,0.3,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-11-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
1999-12-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-01-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-02-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-03-01,0.53,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-04-01,0.51,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-05-01,0.67,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-06-01,0.47,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-07-01,0.59,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-08-01,0.81,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-09-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-10-01,0.63,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-11-01,0.47,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2000-12-01,0.48,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-01-01,0.61,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-02-01,0.56,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-03-01,0.5,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-04-01,0.61,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-05-01,0.45,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-06-01,0.57,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-07-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-08-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-09-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-10-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-11-01,0.44,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2001-12-01,0.58,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-01-01,0.39,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-02-01,0.39,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-03-01,0.43,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-04-01,0.5,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-05-01,0.38,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-06-01,0.46,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-07-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-08-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
2002-09-01,,"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,Liter
