commodity_name,country,market,price_type,date,price_usd,unit,uuid
Milk (fresh),Botswana,National Average,RETAIL,2007-01-01,0.6,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-02-01,0.6,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-03-01,0.6,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-04-01,0.63,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-05-01,0.64,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-06-01,0.67,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-07-01,0.69,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-08-01,0.71,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-09-01,0.73,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-10-01,0.75,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-11-01,0.77,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2007-12-01,0.76,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-01-01,0.76,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-02-01,0.72,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-03-01,0.72,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-04-01,0.74,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-05-01,0.74,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-06-01,0.74,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-07-01,0.77,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-08-01,0.78,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-09-01,0.77,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-10-01,0.68,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-11-01,0.66,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2008-12-01,0.68,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Botswana,National Average,RETAIL,2009-01-01,0.68,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-01-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-02-01,0.67,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-02-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-03-01,0.68,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-03-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-04-01,0.73,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-04-01,1.06,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-05-01,0.76,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-05-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-06-01,0.82,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-06-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-07-01,0.84,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-07-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-08-01,0.84,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-08-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-09-01,0.85,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-09-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-10-01,0.83,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-10-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-11-01,0.83,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-11-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2009-12-01,0.83,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2009-12-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-01-01,0.82,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-01-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-02-01,0.8,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-02-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-03-01,0.8,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-03-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-04-01,0.83,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-04-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-05-01,0.82,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-05-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-06-01,0.84,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-06-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-07-01,0.85,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-07-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-08-01,0.86,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-08-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-09-01,0.89,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-09-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-10-01,0.91,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-10-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-11-01,0.9,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-11-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2010-12-01,0.9,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2010-12-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-01-01,0.91,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-01-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-02-01,0.9,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-02-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-03-01,0.92,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-03-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-04-01,0.97,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-04-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-05-01,0.95,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-05-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-06-01,0.99,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-06-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-07-01,1.0,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-07-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-08-01,0.96,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-08-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-09-01,0.92,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-09-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-10-01,0.89,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-10-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-11-01,0.88,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-11-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2011-12-01,0.86,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2011-12-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-01-01,0.87,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-01-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-02-01,0.93,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-02-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-03-01,0.94,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-03-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-04-01,0.93,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-04-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-05-01,0.93,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-05-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-06-01,0.93,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-06-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-07-01,0.91,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-07-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
Milk (fresh),Botswana,National Average,RETAIL,2012-08-01,0.91,500 ml,53072106-12d6-42eb-8122-7669992ded95
Milk (fresh),Saudi Arabia,National Average,RETAIL,2012-08-01,1.07,Liter,fdf688c1-2a7d-416a-b046-93c89b841c08
