commodity_name,country,market,price_type,date,price_usd,unit,uuid
Milk (manufactured),Georgia,National Average,RETAIL,2012-01-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-02-01,1.65,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-03-01,1.66,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-04-01,1.72,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-05-01,1.7,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-06-01,1.69,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-07-01,1.67,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-08-01,1.65,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-09-01,1.67,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-10-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-11-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2012-12-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-01-01,1.65,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-02-01,1.66,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-03-01,1.63,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-04-01,1.66,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-05-01,1.66,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-06-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-07-01,1.65,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-08-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-09-01,1.64,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-10-01,1.69,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-11-01,1.67,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2013-12-01,1.63,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
Milk (manufactured),Georgia,National Average,RETAIL,2014-01-01,1.61,Liter,91df5b4d-dcb7-4bda-9311-d47c07db9baa
