commodity_name,country,market,price_type,date,price_usd,unit,uuid
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-01-01,1.15,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-02-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-03-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-04-01,1.18,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-05-01,1.14,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-06-01,1.11,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-07-01,1.11,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-08-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-09-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-10-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-11-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2018-12-01,1.06,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-01-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-02-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-03-01,1.11,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-04-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-05-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-06-01,1.06,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-07-01,1.04,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-08-01,1.02,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-09-01,1.02,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-10-01,1.05,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-11-01,1.06,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2019-12-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-01-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-02-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-03-01,1.02,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-04-01,1.02,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-05-01,1.02,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-06-01,1.04,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-07-01,1.05,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-08-01,1.11,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-09-01,1.08,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-10-01,1.09,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-11-01,1.11,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2020-12-01,1.12,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-01-01,1.15,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-02-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-03-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-04-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-05-01,1.18,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-06-01,1.18,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-07-01,1.17,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2021-08-01,1.18,2 pints,f31b578e-d366-4402-b003-3b2654f34d8c
