commodity_name,country,market,price_type,date,price_usd,unit,uuid
Oranges (imported),Tonga,National Average,RETAIL,2010-01-01,6.08,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-02-01,6.25,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-03-01,6.28,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-04-01,6.32,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-05-01,6.23,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-06-01,6.21,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-07-01,6.24,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-08-01,6.18,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-09-01,6.49,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-10-01,6.85,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-11-01,7.01,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2010-12-01,7.24,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-01-01,6.81,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-02-01,6.85,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-03-01,6.81,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-04-01,5.77,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-05-01,6.25,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-06-01,7.02,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-07-01,7.32,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-08-01,7.41,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-09-01,7.23,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-10-01,7.06,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-11-01,7.02,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2011-12-01,6.98,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-01-01,7.06,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-02-01,6.68,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-03-01,6.6,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-04-01,7.02,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-05-01,6.86,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-06-01,6.57,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-07-01,6.61,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-08-01,6.58,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-09-01,6.44,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-10-01,6.44,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-11-01,7.57,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2012-12-01,7.49,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-01-01,7.5,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-02-01,7.5,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-03-01,7.46,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-04-01,7.5,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-05-01,7.37,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-06-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-07-01,7.09,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-08-01,7.05,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-09-01,7.13,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-10-01,7.25,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-11-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2013-12-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-01-01,7.05,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-02-01,7.01,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-03-01,7.01,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-04-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-05-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-06-01,7.17,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-07-01,7.21,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-08-01,7.09,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-09-01,6.94,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-10-01,6.75,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-11-01,6.72,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2014-12-01,5.0,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2015-01-01,4.95,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2015-02-01,5.13,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
Oranges (imported),Tonga,National Average,RETAIL,2015-03-01,5.1,Kg,9429e31d-20f8-45e9-9a28-011322d9f81e
