commodity_name,country,market,price_type,date,price_usd,unit,uuid
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-01-01,0.65,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-02-01,0.67,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-03-01,0.73,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-04-01,0.78,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-05-01,0.77,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-06-01,0.78,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-07-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-08-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-09-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-10-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-11-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2022-12-01,0.77,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-01-01,0.77,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-02-01,0.78,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-03-01,0.78,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-04-01,0.8,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-05-01,0.8,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-06-01,0.79,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-07-01,0.77,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-08-01,0.77,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-09-01,0.75,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-10-01,0.73,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-11-01,0.74,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2023-12-01,0.74,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2024-01-01,0.74,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2024-02-01,0.73,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2024-03-01,0.73,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2024-04-01,0.73,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
Peas (dry),Republic of Moldova,National Average,RETAIL,2024-05-01,0.71,Kg,027eda55-ae25-459b-8867-c5f2cdedf057
