commodity_name,country,market,price_type,date,price_usd,unit,uuid
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-01-01,4.07,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-02-01,4.2,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-03-01,4.09,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-04-01,4.18,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-05-01,4.34,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-06-01,4.38,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-07-01,4.37,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-08-01,4.39,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-09-01,4.35,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-10-01,4.34,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-11-01,4.41,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2014-12-01,4.4,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-01-01,4.18,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-02-01,4.33,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-03-01,4.33,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-04-01,4.33,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-05-01,4.28,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-06-01,4.3,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-07-01,4.28,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-08-01,4.29,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-09-01,4.29,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-10-01,4.26,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-11-01,4.2,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2015-12-01,4.2,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-01-01,4.11,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-02-01,4.22,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-03-01,4.19,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-04-01,4.18,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-05-01,4.11,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-06-01,4.17,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-07-01,4.1,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-08-01,4.43,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-10-01,4.18,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-11-01,4.32,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2016-12-01,4.14,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-01-01,4.16,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-02-01,4.06,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-03-01,3.96,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-04-01,3.96,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-05-01,3.96,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-06-01,3.93,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-07-01,3.93,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-08-01,3.95,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-09-01,3.95,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-10-01,3.95,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-11-01,3.94,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2017-12-01,3.97,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2018-01-01,3.75,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2018-02-01,3.94,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2018-03-01,3.86,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,2018-04-01,3.93,Kg,8b23d080-114d-45bb-a27b-5d3f8c41cb48
