commodity_name,country,market,price_type,date,price_usd,unit,uuid
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2010-12-01,21.5,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-01-01,20.1,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-01-01,17.48,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-02-01,17.96,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-02-01,18.52,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-03-01,21.43,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-03-01,17.15,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-04-01,18.5,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-04-01,14.76,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-05-01,17.45,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-05-01,17.39,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-06-01,17.01,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-07-01,17.08,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-07-01,17.08,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-07-01,19.16,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Trinidad,WHOLESALE,2011-07-01,25.99,Spanish quintal (46 kg),1da0a060-a080-4ad8-923c-ada52a13ce98
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-08-01,16.15,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-08-01,18.07,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-08-01,17.19,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-09-01,18.65,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-09-01,18.82,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-09-01,18.16,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Trinidad,WHOLESALE,2011-09-01,23.12,Spanish quintal (46 kg),1da0a060-a080-4ad8-923c-ada52a13ce98
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-10-01,22.06,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-10-01,19.43,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-10-01,22.37,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-11-01,22.21,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-11-01,19.88,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-11-01,20.35,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2011-12-01,22.28,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2011-12-01,19.59,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2011-12-01,16.22,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-01-01,22.65,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-01-01,18.05,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-01-01,14.53,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-02-01,22.63,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-02-01,18.04,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-02-01,12.56,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-03-01,20.75,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-03-01,17.88,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-03-01,9.38,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-04-01,19.56,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-04-01,17.17,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-04-01,9.47,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-05-01,19.44,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-05-01,15.34,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-05-01,11.28,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-06-01,22.25,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-06-01,15.21,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-06-01,11.74,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-07-01,22.51,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-07-01,15.22,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-07-01,11.45,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-08-01,19.1,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-08-01,14.79,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-08-01,15.06,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-09-01,17.58,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-09-01,15.26,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-09-01,15.69,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-10-01,16.92,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2012-10-01,14.79,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-10-01,15.77,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-11-01,19.47,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-11-01,16.97,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2012-12-01,22.24,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2012-12-01,23.48,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2012-12-01,15.51,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Trinidad,WHOLESALE,2012-12-01,23.15,Spanish quintal (46 kg),1da0a060-a080-4ad8-923c-ada52a13ce98
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-01-01,21.65,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-01-01,25.57,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-01-01,18.65,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-02-01,19.1,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-02-01,23.21,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-02-01,16.58,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-02-01,15.85,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-03-01,17.6,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-03-01,22.89,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-03-01,17.14,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-03-01,12.3,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-04-01,14.14,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-04-01,22.19,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-04-01,14.84,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-04-01,9.51,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-05-01,13.26,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-05-01,14.58,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-05-01,12.44,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Trinidad,WHOLESALE,2013-05-01,23.15,Spanish quintal (46 kg),1da0a060-a080-4ad8-923c-ada52a13ce98
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-06-01,14.81,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-06-01,13.56,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-07-01,20.03,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-07-01,22.49,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-07-01,18.01,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-07-01,18.18,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-08-01,21.88,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-08-01,23.6,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-08-01,23.36,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-09-01,27.98,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-09-01,24.01,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-09-01,31.16,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-10-01,32.57,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-10-01,32.16,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-10-01,33.22,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-11-01,25.33,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-11-01,19.1,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-11-01,30.6,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-11-01,20.59,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2013-12-01,19.5,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2013-12-01,18.09,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2013-12-01,24.56,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2013-12-01,16.18,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2014-01-01,15.91,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2014-01-01,16.78,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
Potatoes (Desirée),Bolivia (Plurinational State of),Oruro,WHOLESALE,2014-01-01,18.97,Spanish quintal (46 kg),2c41b704-fc3e-4fde-ba74-d596a6fbaff3
Potatoes (Desirée),Bolivia (Plurinational State of),Santa Cruz,WHOLESALE,2014-01-01,13.78,Spanish quintal (46 kg),b6d3c3b5-4f99-4565-b696-2a58475ef726
Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,2014-02-01,14.93,Spanish quintal (46 kg),5a2f721a-a645-4849-a9b5-109a329e557b
Potatoes (Desirée),Bolivia (Plurinational State of),La Paz,WHOLESALE,2014-02-01,19.66,Spanish quintal (46 kg),7953cf36-b801-4be0-8b12-92c5528756f2
