date,price_usd,commodity_name,country,market,price_type,unit
2009-01-01,23.56,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-02-01,23.56,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-03-01,23.52,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-04-01,23.18,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-05-01,21.75,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-06-01,21.44,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-07-01,21.44,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-08-01,21.3,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-09-01,21.28,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-10-01,21.22,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-11-01,20.91,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2009-12-01,20.72,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-01-01,20.69,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-02-01,20.73,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-03-01,20.68,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-04-01,20.38,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-05-01,20.5,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-06-01,20.52,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-07-01,20.44,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-08-01,20.35,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-09-01,20.34,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-10-01,20.3,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-11-01,20.36,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2010-12-01,20.29,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-01-01,20.48,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-02-01,20.75,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-03-01,20.9,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-04-01,20.93,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-05-01,20.93,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-06-01,20.93,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-07-01,20.86,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-08-01,20.84,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-09-01,20.98,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-10-01,20.89,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-11-01,20.72,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2011-12-01,20.84,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-01-01,20.87,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-02-01,20.85,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-03-01,20.87,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-04-01,20.85,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-05-01,20.87,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-06-01,20.82,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-07-01,20.72,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-08-01,20.74,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-09-01,20.87,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-10-01,20.86,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-11-01,20.84,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2012-12-01,20.89,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-01-01,20.87,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-02-01,20.96,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-03-01,20.99,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-04-01,21.1,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-05-01,21.15,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-06-01,21.02,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-07-01,20.89,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-08-01,21.06,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-09-01,21.08,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-10-01,21.01,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-11-01,21.13,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2013-12-01,21.09,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
2014-01-01,21.71,"Rice (Basmati, White Indian)",Saudi Arabia,National Average,RETAIL,10 Kg
