commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-01-01,611.63,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-01-01,642.21,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-01-01,638.93,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-01-01,626.6,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-02-01,611.78,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-02-01,644.5,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-02-01,637.96,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-02-01,627.19,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-03-01,613.34,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-03-01,654.4,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-03-01,635.5,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-03-01,629.63,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-04-01,623.87,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-04-01,649.87,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-04-01,634.43,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-04-01,632.54,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-05-01,623.09,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-05-01,639.31,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-05-01,636.07,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-05-01,634.51,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-06-01,623.74,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-06-01,635.44,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-06-01,636.74,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-06-01,636.1,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-07-01,622.62,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-07-01,633.97,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
Rice (Indica),China (mainland),Jiujiang,WHOLESALE,2014-07-01,635.59,tonne,0ccefbb4-c7ec-4a4f-8c28-86374b8324f6
Rice (Indica),China (mainland),National Average,WHOLESALE,2014-07-01,635.18,tonne,27806adb-263d-4ad3-a6a9-cb264418aa0e
Rice (Indica),China (mainland),Hangzhou,WHOLESALE,2014-08-01,623.31,tonne,bbef999e-f14f-4c7d-8b71-007c91405f12
Rice (Indica),China (mainland),Hubei,WHOLESALE,2014-08-01,623.31,tonne,82234e9a-185b-4ce3-bcdd-e450cb4f11d4
