commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-01-01,0.49,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-01-01,44.99,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-02-01,0.49,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-02-01,46.27,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-03-01,0.5,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-03-01,47.27,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-04-01,0.54,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-04-01,51.02,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-05-01,0.5,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-05-01,46.16,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-06-01,0.5,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-06-01,47.21,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-07-01,0.54,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-07-01,51.47,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-08-01,0.53,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-08-01,49.63,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-09-01,0.52,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-09-01,48.26,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-10-01,0.52,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-10-01,47.16,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-11-01,0.48,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-11-01,42.5,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2008-12-01,0.46,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2008-12-01,43.0,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-01-01,0.45,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-01-01,40.44,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-02-01,0.44,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-02-01,39.2,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-03-01,0.41,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-03-01,36.01,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-04-01,0.38,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-04-01,32.63,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-05-01,0.38,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-05-01,33.57,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-06-01,0.36,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-06-01,32.66,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
Rice (Medium),Bangladesh,Dhaka,RETAIL,2009-07-01,0.36,Kg,6e3d3fe6-4e4b-40e0-bccb-1f4726c3c7dd
Rice (Medium),Bangladesh,Dhaka,WHOLESALE,2009-07-01,32.97,100 kg,8a48039e-9be1-4ba7-9ed4-c0908aecab83
