commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-01-01,0.94,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-02-01,0.95,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-03-01,0.96,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-04-01,0.94,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-05-01,0.92,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-06-01,0.9,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-07-01,0.93,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-08-01,0.95,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-09-01,0.94,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-10-01,0.92,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-11-01,0.94,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2000-12-01,0.93,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-01-01,0.91,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-02-01,0.93,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-03-01,0.94,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-04-01,0.97,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-05-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-06-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-07-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-08-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-09-01,0.96,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-10-01,0.96,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-11-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2001-12-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-01-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-02-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-03-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-04-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-05-01,0.95,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-06-01,0.92,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-07-01,0.92,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-08-01,0.91,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-09-01,0.88,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-10-01,0.87,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-11-01,0.86,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2002-12-01,0.86,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-01-01,0.82,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-02-01,0.79,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-03-01,0.79,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-04-01,0.81,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-05-01,0.84,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-06-01,0.8,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-07-01,0.8,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-08-01,0.78,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-09-01,0.77,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-10-01,0.77,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-11-01,0.77,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2003-12-01,0.76,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-01-01,0.8,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-02-01,0.86,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-03-01,0.99,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-04-01,0.98,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-05-01,1.05,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-06-01,1.16,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-07-01,1.19,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-08-01,1.22,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-09-01,1.15,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-10-01,1.19,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
Rice (Morelos),Mexico,Mexico City,WHOLESALE,2004-11-01,1.22,Kg,4cbb1f63-3406-4dbe-8550-b4a99ab9ed26
