commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-07-01,1261.4,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-08-01,1288.75,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-09-01,1415.5,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-10-01,1418.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-11-01,1431.75,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1998-12-01,1469.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-01-01,1448.2,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-02-01,1457.5,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-03-01,1452.5,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-04-01,1417.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-05-01,1204.25,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-06-01,1115.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-07-01,1152.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-08-01,1185.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-09-01,1181.8,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-10-01,1173.75,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-11-01,1139.25,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,1999-12-01,1109.75,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-01-01,22.33,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-02-01,23.42,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-03-01,24.4,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-04-01,23.69,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-05-01,22.96,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-06-01,23.33,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-07-01,22.67,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-08-01,20.92,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-09-01,20.37,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-10-01,21.15,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-11-01,20.65,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2000-12-01,19.81,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-01-01,20.0,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-02-01,20.22,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-03-01,21.48,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-04-01,22.06,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-05-01,21.21,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-06-01,17.84,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-07-01,17.56,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-08-01,18.19,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-09-01,19.33,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-10-01,20.11,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-11-01,20.09,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2001-12-01,19.81,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2002-01-01,20.95,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2002-02-01,21.88,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2002-03-01,22.09,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
Rice (coarse- BR-8_ 11_ Guti_ Sharna),Bangladesh,Dhaka,WHOLESALE,2002-04-01,21.81,100 kg,1be11f1a-c26c-4d15-9b3e-f4fe353a2ac1
