date,price_usd,commodity_name,country,market,price_type,unit
2006-01-01,0.48,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-02-01,0.48,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-03-01,0.48,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-04-01,0.49,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-05-01,0.51,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-06-01,0.5,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-07-01,0.51,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-08-01,0.51,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-09-01,0.51,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-10-01,0.51,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-11-01,0.52,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2006-12-01,0.53,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-01-01,0.53,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-02-01,0.53,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-03-01,0.54,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-04-01,0.56,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-05-01,0.56,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-06-01,0.56,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-07-01,0.57,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-08-01,0.57,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-09-01,0.58,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-10-01,0.59,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-11-01,0.62,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2007-12-01,0.61,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-01-01,0.72,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-02-01,0.72,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-03-01,0.76,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-04-01,0.77,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-05-01,0.79,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-06-01,0.81,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-07-01,0.86,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-08-01,0.79,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-09-01,0.75,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-10-01,0.75,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
2008-11-01,0.71,Rice (medium grain),Cabo Verde,Santiago,RETAIL,Kg
