date,price_usd,commodity_name,country,market,price_type,unit
2015-12-01,3.35,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-01-01,3.35,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-02-01,3.47,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-03-01,3.74,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-04-01,3.95,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-05-01,3.94,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-06-01,4.14,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-07-01,4.28,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-08-01,4.39,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-09-01,4.33,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-10-01,4.42,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-11-01,4.23,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2016-12-01,4.23,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-01-01,4.42,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-02-01,4.55,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-03-01,4.53,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-04-01,4.51,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-05-01,4.41,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-06-01,4.3,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-07-01,4.0,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-08-01,4.45,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-09-01,4.13,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-10-01,3.87,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-11-01,3.55,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2017-12-01,3.19,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-01-01,3.16,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-02-01,3.08,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-03-01,3.32,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-04-01,3.22,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-05-01,3.21,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-06-01,3.68,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-07-01,3.57,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-08-01,3.22,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-09-01,3.22,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-10-01,3.44,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-11-01,3.51,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2018-12-01,3.18,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-01-01,3.37,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-02-01,3.34,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-03-01,3.39,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-04-01,3.54,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-05-01,2.97,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-06-01,3.12,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-07-01,3.24,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-08-01,3.26,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-09-01,2.65,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-10-01,3.08,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-11-01,3.08,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2019-12-01,3.11,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-01-01,3.21,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-02-01,2.91,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-03-01,2.55,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-04-01,2.79,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-05-01,2.76,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-06-01,3.11,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-07-01,3.05,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-08-01,2.97,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-09-01,3.77,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-10-01,4.01,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-11-01,4.31,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
2020-12-01,4.57,"Rice (milled, fine long-grain, type 1)",Brazil,Federal District,WHOLESALE,5 kg
