commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2006-10-01,466.85,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2006-11-01,520.59,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2006-12-01,534.05,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-01-01,528.37,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-02-01,526.21,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-03-01,472.32,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-04-01,456.55,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-05-01,477.62,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-06-01,426.03,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-07-01,398.43,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-08-01,387.12,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-09-01,398.62,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-10-01,452.84,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-11-01,480.85,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2007-12-01,465.79,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-01-01,465.5,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-02-01,463.32,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-03-01,515.38,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-04-01,638.48,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-05-01,745.44,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-06-01,811.03,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-10-01,656.32,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-11-01,603.95,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2008-12-01,604.02,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-01-01,631.14,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-02-01,650.95,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-03-01,632.36,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-04-01,606.14,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-05-01,613.81,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-06-01,602.24,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-07-01,558.82,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-10-01,519.71,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-11-01,562.99,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2009-12-01,551.12,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-01-01,542.82,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-02-01,563.93,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-03-01,565.72,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-04-01,560.04,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-05-01,569.54,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-06-01,592.9,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-10-01,609.11,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-11-01,636.67,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2010-12-01,635.55,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-01-01,733.46,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-02-01,841.87,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-03-01,914.83,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-04-01,945.66,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-05-01,940.35,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-06-01,938.96,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-10-01,587.17,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-11-01,602.56,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2011-12-01,540.47,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-01-01,513.1,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-02-01,474.61,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-03-01,463.88,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-04-01,442.37,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-05-01,383.03,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-06-01,374.4,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-07-01,377.86,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-10-01,430.48,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-11-01,448.08,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2012-12-01,446.31,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-01-01,433.99,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-02-01,424.15,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-03-01,410.83,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-04-01,409.67,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-05-01,406.08,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-06-01,455.81,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-07-01,544.39,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-08-01,557.56,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-10-01,609.63,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-11-01,671.3,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2013-12-01,740.58,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
"Rice (paddy, Arborio Volano)",Italy,National Average,WHOLESALE,2014-01-01,824.77,tonne,93c388db-ed42-49ac-a7bc-d72cfe3c4421
