commodity_name,country,market,price_type,date,price_usd,unit,uuid
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-04-01,0.52,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-04-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-05-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-05-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-06-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-06-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-07-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-07-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-08-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-08-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-09-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-09-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-10-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-10-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-11-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-11-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2013-12-01,0.56,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2013-12-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2014-01-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2014-02-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2014-03-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2014-04-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-04-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-05-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-06-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-10-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-11-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2015-12-01,0.56,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-01-01,0.56,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-02-01,0.65,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-03-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-05-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-06-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-07-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-08-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-09-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2016-12-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-01-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Dikhil,RETAIL,2017-02-01,0.68,Kg,a9d272d3-436f-457b-8fd9-6ca635036299
Sorghum (white),Djibouti,Obock,RETAIL,2017-02-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-03-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-04-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-05-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-06-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-07-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-08-01,0.56,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-09-01,1.13,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-10-01,0.51,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-11-01,0.51,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2017-12-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-01-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-02-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-03-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-04-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-05-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-06-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-07-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
Sorghum (white),Djibouti,Obock,RETAIL,2018-08-01,0.68,Kg,380d1b15-8752-4bb0-9f8f-aa049d344a54
