commodity_name,country,market,price_type,date,price_usd,unit,uuid
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-01-01,0.25,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-02-01,0.26,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-03-01,0.26,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-04-01,0.28,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-05-01,0.33,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-06-01,0.38,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-07-01,0.37,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-08-01,0.4,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-09-01,0.43,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-10-01,0.3,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-11-01,0.32,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2006-12-01,0.34,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-01-01,0.37,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-01-01,0.35,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-01-01,0.4,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-02-01,0.39,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-02-01,0.35,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-02-01,0.42,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-03-01,0.45,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-03-01,0.4,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-03-01,0.44,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-04-01,0.45,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-04-01,0.41,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-04-01,0.47,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-05-01,0.45,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-05-01,0.44,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-05-01,0.48,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-06-01,0.46,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-06-01,0.45,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-06-01,0.51,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-07-01,0.46,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-07-01,0.51,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-07-01,0.55,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-08-01,0.47,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-08-01,0.55,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-08-01,0.6,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-09-01,0.49,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-09-01,0.47,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-09-01,0.63,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-10-01,0.49,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-10-01,0.5,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-10-01,0.73,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-11-01,0.48,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-11-01,0.55,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-11-01,0.63,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2007-12-01,0.53,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2007-12-01,0.63,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2007-12-01,0.74,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-01-01,0.58,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-01-01,0.65,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-01-01,0.75,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-02-01,0.58,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-02-01,0.7,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-02-01,0.83,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-03-01,0.58,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-03-01,0.79,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-03-01,0.84,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-04-01,0.57,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-04-01,0.79,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-04-01,0.96,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-05-01,0.57,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-05-01,0.78,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-05-01,0.94,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-06-01,0.54,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-06-01,0.76,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
Soya beans,Cambodia,Phnom Penh,WHOLESALE,2008-06-01,0.92,Kg,2607c84b-5e93-4cbe-bae9-b8737baf0ee4
Soya beans,Cambodia,Banteay Meanchey,WHOLESALE,2008-07-01,0.58,Kg,fde5ee00-644f-49f8-a66d-1c06783d15a4
Soya beans,Cambodia,Kampong Cham,WHOLESALE,2008-07-01,0.79,Kg,eadfef32-b02f-4e20-ad69-d9facbc86875
