commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-03-01,2.53,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-04-01,2.72,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-05-01,1.44,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-06-01,1.85,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-07-01,2.41,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-08-01,2.69,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-09-01,2.84,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-10-01,2.57,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-11-01,2.23,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2010-12-01,1.89,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-01-01,2.5,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-02-01,1.76,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-03-01,2.16,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-04-01,2.31,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-05-01,1.95,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-06-01,1.62,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-07-01,1.9,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-08-01,1.43,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-09-01,1.93,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-10-01,2.04,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-11-01,2.84,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2011-12-01,2.85,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-01-01,2.69,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-02-01,2.5,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-03-01,2.61,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-04-01,2.87,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-05-01,2.61,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-06-01,2.45,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-07-01,2.35,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-08-01,2.44,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-09-01,2.09,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-10-01,1.81,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-11-01,1.7,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2012-12-01,1.56,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-01-01,2.22,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-02-01,1.94,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-03-01,1.91,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-04-01,1.7,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-05-01,1.99,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-06-01,2.28,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-07-01,1.99,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-08-01,1.51,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-09-01,2.31,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-10-01,2.17,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-11-01,2.54,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2013-12-01,2.07,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-01-01,2.0,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-02-01,2.27,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-03-01,2.07,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-04-01,2.08,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-05-01,1.98,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-06-01,1.57,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-07-01,1.54,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-08-01,2.05,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-09-01,2.84,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-10-01,1.94,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-11-01,3.04,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2014-12-01,3.81,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-01-01,4.28,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-02-01,2.65,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-03-01,2.56,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-04-01,3.14,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-05-01,2.97,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-06-01,3.49,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-07-01,2.7,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-08-01,2.26,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-09-01,2.05,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-10-01,2.0,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-11-01,2.69,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2015-12-01,2.16,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-01-01,2.92,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-02-01,2.46,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-03-01,2.64,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-04-01,1.98,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-05-01,2.01,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-06-01,1.97,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-07-01,2.23,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-08-01,1.95,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-09-01,2.63,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-10-01,5.48,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-11-01,3.24,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2016-12-01,2.97,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-01-01,3.62,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-02-01,4.69,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-03-01,3.29,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-04-01,3.42,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-05-01,3.17,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-06-01,3.81,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-07-01,3.81,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-08-01,3.02,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-09-01,2.43,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-10-01,2.55,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-11-01,2.73,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2017-12-01,2.0,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-01-01,1.43,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-02-01,2.04,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-03-01,2.25,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-04-01,2.58,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-05-01,2.08,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-06-01,1.82,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-07-01,4.15,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-08-01,3.02,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-09-01,2.4,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-10-01,3.01,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-11-01,2.62,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2018-12-01,2.04,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-01-01,2.71,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-02-01,2.17,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-03-01,2.14,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-04-01,1.76,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-05-01,1.56,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-06-01,1.48,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-07-01,1.6,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-08-01,1.88,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-09-01,2.33,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-10-01,2.19,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-11-01,2.16,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2019-12-01,3.03,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-01-01,2.53,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-02-01,2.14,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-03-01,3.21,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-04-01,2.39,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-05-01,2.07,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-06-01,2.08,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-07-01,2.23,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-08-01,1.66,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-09-01,2.01,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-10-01,1.96,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-11-01,2.35,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2020-12-01,2.87,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2021-01-01,2.46,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
"Taro (leaves, fresh)",Tonga,National Average,RETAIL,2021-02-01,2.49,Kg,1b5eb0f4-7522-4861-b0c1-8f6ffb7d39f7
