commodity_name,country,market,price_type,date,price_usd,unit,uuid
Tomatoes,Tunisia,Tunis,RETAIL,1994-01-01,0.5,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-02-01,0.5,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-03-01,0.5,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-04-01,0.53,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-05-01,0.56,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-06-01,0.53,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-07-01,0.27,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-08-01,0.26,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-09-01,0.36,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1994-10-01,0.54,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-05-01,0.57,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-06-01,0.52,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-07-01,0.29,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-08-01,0.29,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-09-01,0.36,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1995-10-01,0.43,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-01-01,0.42,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-02-01,0.71,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-03-01,0.87,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-04-01,0.89,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-05-01,0.85,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-06-01,0.48,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-07-01,0.26,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-08-01,0.22,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-09-01,0.28,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1996-10-01,0.51,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-01-01,0.64,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-02-01,0.65,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-03-01,0.64,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-04-01,0.6,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-05-01,0.57,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-06-01,0.69,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-07-01,0.26,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-08-01,0.31,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-09-01,0.43,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1997-10-01,0.45,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-01-01,0.98,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-02-01,0.67,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-03-01,0.49,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-04-01,0.56,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-05-01,0.74,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-06-01,0.46,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-07-01,0.3,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-08-01,0.38,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-09-01,0.4,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1998-10-01,0.35,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-05-01,0.78,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-06-01,0.99,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-07-01,0.26,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-08-01,0.29,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-09-01,0.34,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-10-01,0.77,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,1999-11-01,0.77,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,2000-06-01,0.27,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
Tomatoes,Tunisia,Tunis,RETAIL,2000-07-01,0.19,Kg,81ae5183-c2c7-4cb7-a2b0-b6d9e770f136
