commodity_name,country,market,price_type,date,price_usd,unit,uuid
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-06-01,1.43,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-07-01,1.46,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-08-01,1.56,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-09-01,1.59,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-10-01,1.63,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-11-01,1.68,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2007-12-01,1.67,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-01-01,2.02,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-02-01,2.25,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-03-01,2.37,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-04-01,2.4,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-05-01,2.37,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-06-01,2.37,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-07-01,2.4,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-08-01,2.05,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-09-01,2.19,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-10-01,2.03,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-11-01,1.94,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2008-12-01,2.08,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-01-01,1.82,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-02-01,1.95,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-03-01,1.99,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-04-01,1.81,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-05-01,1.64,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-06-01,1.6,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-07-01,1.72,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-08-01,1.63,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-09-01,1.66,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-10-01,1.69,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-11-01,1.71,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2009-12-01,1.67,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-01-01,1.71,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-02-01,1.88,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-03-01,1.8,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-04-01,1.74,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-05-01,1.65,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-06-01,1.67,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-07-01,1.8,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-08-01,1.81,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-09-01,1.79,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-10-01,1.91,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-11-01,1.87,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2010-12-01,1.81,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-01-01,1.83,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-02-01,1.87,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-03-01,1.92,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-04-01,2.09,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-05-01,2.41,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-06-01,2.49,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-07-01,2.61,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-08-01,2.33,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-09-01,2.1,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-10-01,2.09,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-11-01,2.07,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2011-12-01,2.01,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2012-01-01,1.97,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,2012-02-01,2.02,Liter,5ff4eb7a-5319-488c-a85d-3f01da524e4a
