commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-01-01,1.07,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-02-01,1.06,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-03-01,1.07,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-04-01,1.04,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-05-01,1.0,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-06-01,0.93,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-07-01,0.92,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-08-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-09-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-10-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-11-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2018-12-01,0.87,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2019-01-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2019-02-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2019-03-01,0.89,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
"Wheat (flour, self-raising)",United Kingdom,National Average,RETAIL,2019-04-01,0.88,1.5 Kg,4a787664-c426-44fd-8b3f-a4d17223aa4b
