commodity_name,country,market,price_type,date,price_usd,unit,uuid
Wheat,Somalia,Mogadishu,RETAIL,1995-02-01,1.95,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-03-01,11750.0,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-04-01,1.99,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-05-01,2.0,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-06-01,1.9,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-07-01,1.2,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-08-01,1.77,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-10-01,1.63,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Somalia,Mogadishu,RETAIL,1995-11-01,1.61,Kg,ad59891c-d2db-4cb4-8094-b622c87bd199
Wheat,Afghanistan,Herat,RETAIL,2000-01-01,0.17,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-01-01,0.25,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-01-01,0.26,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-01-01,0.24,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-01-01,105.96,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-02-01,0.17,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-02-01,0.25,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-02-01,0.23,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-02-01,0.23,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-02-01,108.57,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-03-01,0.16,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-03-01,0.23,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-03-01,0.21,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-03-01,0.19,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-03-01,106.1,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-04-01,0.2,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-04-01,0.23,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-04-01,0.22,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-04-01,0.2,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-04-01,105.41,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-05-01,0.19,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-05-01,0.21,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-05-01,0.22,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-05-01,0.2,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-05-01,113.32,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-06-01,0.19,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-06-01,0.21,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-06-01,0.24,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-06-01,0.21,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
Wheat,South Africa,Randfontein,WHOLESALE,2000-06-01,114.9,tonne,2955f915-ad24-48cd-ab89-0507c0230b87
Wheat,Afghanistan,Herat,RETAIL,2000-07-01,0.18,Kg,7eb3f8d3-4a1a-47bc-b43c-3916bf4fa8a2
Wheat,Afghanistan,Jalalabad,RETAIL,2000-07-01,0.19,Kg,6bd65c9e-8146-488e-9114-8096b9e2e5b5
Wheat,Afghanistan,Kabul,RETAIL,2000-07-01,0.23,Kg,f8c13be1-0357-4b50-ab1f-2e3ea47fdb45
Wheat,Afghanistan,Kandahar,RETAIL,2000-07-01,0.21,Kg,1e7e06a5-81f7-4ca7-af67-6a02e592cd7f
