commodity_name,country,market,price_type,date,price_usd,unit,uuid
Yam (early),Tonga,National Average,RETAIL,2010-03-01,1.54,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-04-01,1.4,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-05-01,1.44,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-06-01,1.88,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-07-01,2.36,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-08-01,2.52,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-09-01,2.83,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-10-01,2.88,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-11-01,2.78,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2010-12-01,2.39,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-01-01,2.34,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-02-01,1.9,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-03-01,1.62,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-04-01,1.53,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-05-01,1.91,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-06-01,2.2,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-07-01,2.8,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-08-01,2.7,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-09-01,3.1,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-10-01,2.75,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-11-01,2.67,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2011-12-01,2.24,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-01-01,2.79,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-02-01,2.16,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-03-01,1.89,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-04-01,1.88,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-05-01,2.31,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-06-01,2.43,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-07-01,2.82,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-08-01,2.74,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-09-01,2.09,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-10-01,2.73,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-11-01,3.06,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2012-12-01,3.13,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2013-01-01,2.68,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
Yam (early),Tonga,National Average,RETAIL,2013-02-01,2.03,Kg,ee816802-1764-4c1e-9a8a-e125ee36ce8f
