commodity_name,country,market,price_type,date,price_usd,unit,uuid
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-01-01,0.69,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-01-01,0.57,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-01-01,0.69,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-01-01,0.96,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-02-01,0.61,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-02-01,0.69,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-02-01,0.73,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-02-01,0.71,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-03-01,0.58,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-03-01,0.72,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-03-01,0.73,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-03-01,0.73,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-04-01,0.61,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-04-01,0.72,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-04-01,0.71,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-04-01,0.73,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-05-01,0.57,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-05-01,0.72,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-05-01,0.72,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-05-01,0.77,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-06-01,0.63,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-06-01,0.74,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-06-01,0.73,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-06-01,0.9,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-07-01,0.72,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-07-01,0.86,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-07-01,0.76,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,National Average,RETAIL,2018-07-01,0.76,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-08-01,0.69,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-08-01,0.86,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-08-01,0.78,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2018-08-01,0.84,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2018-08-01,0.79,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-09-01,0.74,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-09-01,0.66,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-09-01,0.86,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2018-09-01,0.82,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2018-09-01,0.76,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-10-01,0.72,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-10-01,0.57,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-10-01,0.86,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2018-10-01,0.73,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2018-10-01,0.65,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-11-01,0.67,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-11-01,0.69,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-11-01,0.71,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2018-11-01,0.84,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2018-11-01,0.65,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2018-12-01,0.69,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2018-12-01,0.8,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2018-12-01,0.79,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2018-12-01,0.84,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2018-12-01,0.68,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2019-01-01,0.78,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2019-01-01,0.8,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2019-01-01,0.74,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2019-01-01,0.88,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2019-01-01,0.72,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Uzbekistan,National Average,RETAIL,2019-01-01,0.55,Kg,8dac86cc-7526-4951-b570-4dfa7cc5a21e
Apples,Uzbekistan,Tashkent Region,RETAIL,2019-01-01,0.58,Kg,0b4d0b35-3025-4c48-a01d-cbeb4b78da21
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2019-02-01,0.72,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2019-02-01,0.8,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2019-02-01,0.74,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2019-02-01,1.01,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2019-02-01,0.67,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Uzbekistan,National Average,RETAIL,2019-02-01,0.56,Kg,8dac86cc-7526-4951-b570-4dfa7cc5a21e
Apples,Uzbekistan,Tashkent Region,RETAIL,2019-02-01,0.58,Kg,0b4d0b35-3025-4c48-a01d-cbeb4b78da21
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2019-03-01,0.74,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2019-03-01,0.8,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2019-03-01,0.74,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2019-03-01,1.31,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2019-03-01,0.72,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Uzbekistan,National Average,RETAIL,2019-03-01,0.56,Kg,8dac86cc-7526-4951-b570-4dfa7cc5a21e
Apples,Uzbekistan,Tashkent Region,RETAIL,2019-03-01,0.56,Kg,0b4d0b35-3025-4c48-a01d-cbeb4b78da21
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2019-04-01,0.76,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2019-04-01,0.8,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2019-04-01,0.74,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2019-04-01,2.49,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2019-04-01,0.72,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Uzbekistan,National Average,RETAIL,2019-04-01,0.56,Kg,8dac86cc-7526-4951-b570-4dfa7cc5a21e
Apples,Uzbekistan,Tashkent Region,RETAIL,2019-04-01,0.54,Kg,0b4d0b35-3025-4c48-a01d-cbeb4b78da21
Apples,Syrian Arab Republic,Al-Hasakeh,RETAIL,2019-05-01,0.78,Kg,55550618-23f4-4c38-a240-949ec8fdc1ca
Apples,Syrian Arab Republic,Dar'a,RETAIL,2019-05-01,0.92,Kg,68ad91c2-af32-4040-94fa-6414e982bda4
Apples,Syrian Arab Republic,Deir-ez-Zor,RETAIL,2019-05-01,0.8,Kg,715911b7-f136-4be0-8e96-5cad555612cc
Apples,Syrian Arab Republic,Duma,RETAIL,2019-05-01,2.82,Kg,30a41b2f-a2db-4456-84a9-33edf26053f2
Apples,Syrian Arab Republic,National Average,RETAIL,2019-05-01,0.73,Kg,0d9d7f66-dc89-4364-9a5d-36fdb9e15465
Apples,Uzbekistan,National Average,RETAIL,2019-05-01,0.73,Kg,8dac86cc-7526-4951-b570-4dfa7cc5a21e
Apples,Uzbekistan,Tashkent Region,RETAIL,2019-05-01,0.78,Kg,0b4d0b35-3025-4c48-a01d-cbeb4b78da21
