commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-01-01,0.78,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-01-01,0.75,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-01-01,0.85,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-02-01,0.75,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-02-01,0.7,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-02-01,0.75,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-03-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-03-01,0.75,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-03-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-04-01,0.65,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-04-01,0.75,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-04-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-05-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-05-01,0.75,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-05-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-06-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-06-01,0.63,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-06-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-07-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-07-01,0.51,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-07-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-08-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-08-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-08-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-09-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-09-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-09-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-10-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-10-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-10-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-11-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-11-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-11-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2019-12-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2019-12-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2019-12-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2020-01-01,0.66,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2020-01-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2020-01-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2020-02-01,0.75,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2020-02-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2020-02-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2020-03-01,0.75,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2020-03-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2020-03-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2020-05-01,0.63,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2020-05-01,0.5,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2020-05-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
"Beans (red, kidney)",Belize,Belize City,RETAIL,2020-06-01,0.65,lb,7f1f0180-60fc-4fb2-8397-c68d12e07ead
"Beans (red, kidney)",Belize,Orange Walk,RETAIL,2020-06-01,0.53,lb,26d0d681-6c0c-4bc0-abd6-773425107e5d
"Beans (red, kidney)",Belize,Punta Gorda,RETAIL,2020-06-01,1.0,lb,630d4446-0a56-451e-9bcf-a4b82ff9cbf4
