commodity_name,country,market,price_type,date,price_usd,unit,uuid
Bread (brown),South Africa,National Average,RETAIL,2000-01-01,0.45,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-02-01,0.44,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-03-01,0.43,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-04-01,0.42,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-05-01,0.39,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-06-01,0.4,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-07-01,0.41,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-08-01,0.41,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-09-01,0.39,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-10-01,0.39,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-11-01,0.38,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2000-12-01,0.39,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-01-01,0.38,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-02-01,0.38,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-03-01,0.38,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-04-01,0.37,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-05-01,0.38,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-06-01,0.37,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-07-01,0.37,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-08-01,0.36,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-09-01,0.34,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-10-01,0.34,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-11-01,0.33,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2001-12-01,0.28,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-01-01,0.28,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-02-01,0.28,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-03-01,0.3,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-04-01,0.3,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-05-01,0.34,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-06-01,0.36,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-07-01,0.36,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-08-01,0.35,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-09-01,0.35,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-10-01,0.37,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-11-01,0.37,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2002-12-01,0.43,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-01-01,0.43,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-02-01,0.46,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-03-01,0.47,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-04-01,0.49,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-05-01,0.49,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-06-01,0.46,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-07-01,0.48,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-08-01,0.54,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-09-01,0.53,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-10-01,0.54,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-11-01,0.59,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2003-12-01,0.59,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-01-01,0.55,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-02-01,0.58,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-03-01,0.59,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-04-01,0.6,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-05-01,0.58,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-06-01,0.62,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-07-01,0.64,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-08-01,0.61,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-09-01,0.6,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-10-01,0.62,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-11-01,0.67,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2004-12-01,0.71,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2005-01-01,0.68,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2005-02-01,0.68,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
Bread (brown),South Africa,National Average,RETAIL,2005-03-01,0.69,700 gms,7bf9b5cf-82d2-4102-9cc2-4bec17114ebe
