commodity_name,country,market,price_type,date,price_usd,unit,uuid
Maize (grain),Kenya,National Average,RETAIL,2021-12-01,0.5,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-04-01,0.53,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-05-01,0.54,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-06-01,0.56,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-08-01,0.62,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-09-01,0.63,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-11-01,0.63,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2022-12-01,0.63,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-02-01,0.61,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-03-01,0.6,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-04-01,0.59,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-05-01,0.59,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-06-01,0.62,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-07-01,0.61,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-08-01,0.55,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-09-01,0.51,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-10-01,0.5,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-11-01,0.47,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2023-12-01,0.46,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-01-01,0.45,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-02-01,0.45,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-03-01,0.48,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-04-01,0.48,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-05-01,0.47,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-06-01,0.47,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-07-01,0.46,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-08-01,0.46,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-09-01,0.46,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-10-01,0.46,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-11-01,0.47,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2024-12-01,0.48,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-01-01,0.48,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-02-01,0.48,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-03-01,0.5,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-04-01,0.52,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-05-01,0.53,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-06-01,0.54,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-07-01,0.55,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-08-01,0.55,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-09-01,0.53,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
Maize (grain),Kenya,National Average,RETAIL,2025-10-01,0.53,Kg,b03a28cf-94a7-4b97-8c3a-8db50038ac0b
