commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-01-01,0.27,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-02-01,0.27,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-03-01,0.27,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-04-01,0.27,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-05-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-06-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-07-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-08-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-09-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-10-01,0.28,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-11-01,0.29,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2006-12-01,0.29,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2007-01-01,0.29,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2007-02-01,0.29,Kg,0317703b-b719-4900-8a57-44b807f92417
"Maize (yellow, feedlot, imported)",Cabo Verde,Santiago,RETAIL,2007-03-01,0.3,Kg,0317703b-b719-4900-8a57-44b807f92417
