commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1997-10-01,0.27,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1997-11-01,0.26,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1997-12-01,0.29,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-01-01,0.57,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-02-01,0.55,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-03-01,0.44,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-04-01,0.54,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-05-01,0.5,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-06-01,0.35,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-07-01,0.32,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-08-01,0.25,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-09-01,0.43,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-10-01,0.33,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-11-01,0.4,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1998-12-01,0.38,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1999-03-01,0.49,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1999-06-01,0.38,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1999-07-01,0.35,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1999-08-01,0.59,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,1999-10-01,0.3,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,2000-03-01,0.53,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,2000-04-01,0.51,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,2000-05-01,0.67,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,2000-06-01,0.47,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
"Milk (Fresh, Camel)",Somalia,Galkayo,RETAIL,2000-07-01,0.59,Liter,bafd1205-d1ed-43b9-af02-0e190ff695a6
