commodity_name,country,market,price_type,date,price_usd,unit,uuid
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-01-01,0.59,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-01-01,0.55,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-01-01,0.58,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-02-01,0.61,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-02-01,0.55,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-02-01,0.59,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-03-01,0.61,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-03-01,0.55,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-03-01,0.58,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-04-01,0.6,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-04-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-04-01,0.55,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-04-01,0.57,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-05-01,0.6,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-05-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-05-01,0.56,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-05-01,0.58,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-06-01,0.6,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-06-01,0.66,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-06-01,0.56,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-06-01,0.58,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-07-01,0.6,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-07-01,0.64,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-07-01,0.56,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-07-01,0.58,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-08-01,0.64,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-08-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-08-01,0.57,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-08-01,0.6,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-09-01,0.65,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-09-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-09-01,0.57,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-09-01,0.6,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-10-01,0.65,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-10-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-10-01,0.57,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-10-01,0.6,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-11-01,0.64,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-11-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-11-01,0.57,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-11-01,0.65,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2021-12-01,0.64,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2021-12-01,0.65,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2021-12-01,0.56,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2021-12-01,0.6,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-01-01,0.64,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2022-01-01,0.66,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2022-01-01,0.56,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2022-01-01,0.61,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-02-01,0.66,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2022-02-01,0.67,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2022-02-01,0.57,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2022-02-01,0.61,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-03-01,0.63,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2022-03-01,0.59,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2022-03-01,0.54,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2022-03-01,0.56,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-04-01,0.72,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2022-04-01,0.72,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2022-04-01,0.62,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2022-04-01,0.63,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-05-01,0.76,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
Milk (pasteurised),Kazakhstan,Astana,RETAIL,2022-05-01,0.75,Liter,e43829ff-cf10-4332-bd8e-a03f671ba78d
Milk (pasteurised),Kazakhstan,Kostanay,RETAIL,2022-05-01,0.65,Liter,2d70eb21-da90-456f-8188-484259757b93
Milk (pasteurised),Kazakhstan,National Average,RETAIL,2022-05-01,0.68,Liter,16683256-741d-460d-9975-8c4de6de9fce
Milk (pasteurised),Kazakhstan,Almaty,RETAIL,2022-06-01,0.74,Liter,64043139-e7cc-4d77-bc2f-5e6a84b449a5
