commodity_name,country,market,price_type,date,price_usd,unit,uuid
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-04-01,56.31,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-05-01,58.62,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-06-01,58.85,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-07-01,57.97,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-08-01,53.31,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-09-01,53.64,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-10-01,54.08,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-11-01,57.31,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2020-12-01,59.04,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-01-01,60.52,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-02-01,61.3,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-03-01,60.94,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-04-01,65.06,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-05-01,66.16,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-06-01,67.82,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
Millet (finger),United Republic of Tanzania,National Average,WHOLESALE,2021-07-01,63.69,100 kg,d9ade7bf-966b-405f-b029-6001e9c05bb9
