commodity_name,country,market,price_type,date,price_usd,unit,uuid
Oranges (Navel),Egypt,National Average,RETAIL,2020-10-01,0.57,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2020-11-01,0.42,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2020-12-01,0.4,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-01-01,0.39,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-02-01,0.41,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-03-01,0.5,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-04-01,0.61,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-10-01,0.73,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-11-01,0.52,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2021-12-01,0.47,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-01-01,0.45,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-02-01,0.47,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-03-01,0.51,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-04-01,0.51,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-09-01,1.08,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-10-01,0.53,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-11-01,0.34,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2022-12-01,0.31,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
Oranges (Navel),Egypt,National Average,RETAIL,2023-01-01,0.26,Kg,3436eca6-8976-4128-b68c-64edeeac5dbb
